,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id,ipniID.type,ipniID
10,uri,http://www.wikidata.org/entity/Q80700911,uri,http://www.wikidata.org/entity/Q105297776,literal,Hymenopus intrapetiolaris,literal,VVPBNSGOLQBLTJ-VERPJTLHSA-N,literal,O=C(OC1C=C2C(OC(=O)C)OC(OC(=O)C)C23C(O)CC(C)C(C)(CCC(=C)C=C)C3C1)C4=CC=C(O)C=C4,en,literal,Intrapetacin B,literal,10.1021/NP0005006,,,,,literal,77156976-1
11,uri,http://www.wikidata.org/entity/Q92116862,uri,http://www.wikidata.org/entity/Q5172335,literal,Moquilea cariae,literal,HFGSQOYIOKBQOW-ZSDYHTTISA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1C)C)C(=O)O,en,literal,corosolic acid,literal,10.14264/UQL.2014.538,literal,4547-24-4,literal,CHEMBL391533,literal,60472898-2
12,uri,http://www.wikidata.org/entity/Q80700911,uri,http://www.wikidata.org/entity/Q105122415,literal,Hymenopus intrapetiolaris,literal,IXQKXEUSCPEQRD-QATBOUOLSA-N,literal,O=C(OC(C=CC(=O)C(O)(C)C1C(O)CC2(C)C3CC=C4C(CC(O)C(=O)C4(C)C)C3(C(=O)CC12C)C)(C)C)C,en,literal,"[(E,6R)-6-[(2S,8S,9R,10S,13R,14S,16R,17R)-2,16-dihydroxy-4,4,9,13,14-pentamethyl-3,11-dioxo-2,7,8,10,12,15,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]-6-hydroxy-2-methyl-5-oxohept-3-en-2-yl] acetate",literal,10.1021/NP0005006,,,,,literal,77156976-1
13,uri,http://www.wikidata.org/entity/Q85192266,uri,http://www.wikidata.org/entity/Q412366,literal,Moquilea tomentosa,literal,SECPZKHBENQXJG-FPLPWBNLSA-N,literal,CCCCCCC=CCCCCCCCC(=O)O,en,literal,palmitoleic acid,literal,10.1016/J.FITOTE.2005.04.018,literal,373-49-9,literal,CHEMBL453509,literal,726782-1
14,uri,http://www.wikidata.org/entity/Q80701120,uri,http://www.wikidata.org/entity/Q407857,literal,Leptobalanus apetalus,literal,IKGXIBQEEMLURG-NVPNHPEKSA-N,literal,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,en,literal,rutin,literal,10.1016/S0305-1978(01)00089-8,literal,153-18-4,literal,CHEMBL226335,literal,60472826-2
15,uri,http://www.wikidata.org/entity/Q104848314,uri,http://www.wikidata.org/entity/Q27145564,literal,Moquilea licaniaeflora,literal,FOHXFLPXBUAOJM-MGMURXEASA-N,literal,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O,en,literal,myricetin 3-O-beta-D-galactopyranoside,literal,10.1016/S0305-1978(01)00089-8,literal,15648-86-9,literal,CHEMBL462244,,
16,uri,http://www.wikidata.org/entity/Q85192266,uri,http://www.wikidata.org/entity/Q384111,literal,Moquilea tomentosa,literal,QGJZLNKBHJESQX-FZFNOLFKSA-N,literal,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O,en,literal,betulinic acid,literal,10.1016/S0304-3835(02)00593-1,literal,472-15-1,literal,CHEMBL269277,literal,726782-1
17,uri,http://www.wikidata.org/entity/Q85192266,uri,http://www.wikidata.org/entity/Q384111,literal,Moquilea tomentosa,literal,QGJZLNKBHJESQX-FZFNOLFKSA-N,literal,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O,en,literal,betulinic acid,literal,10.1016/J.FITOTE.2005.04.018,literal,472-15-1,literal,CHEMBL269277,literal,726782-1
18,uri,http://www.wikidata.org/entity/Q80700911,uri,http://www.wikidata.org/entity/Q105187209,literal,Hymenopus intrapetiolaris,literal,NXJIENULLHZFNA-YJWLGVHQSA-N,literal,O=C(OC1C=C2C(OC)OC(OC(=O)C)C23C(O)CC(C)C(C)(CCC(=C)C=C)C3C1)C4=CC=C(O)C=C4,en,literal,"[(1S,3S,5S,6aS,7R,8R,10S,10aR)-1-acetyloxy-10-hydroxy-3-methoxy-7,8-dimethyl-7-(3-methylidenepent-4-enyl)-1,3,5,6,6a,8,9,10-octahydrobenzo[d][2]benzofuran-5-yl] 4-hydroxybenzoate",literal,10.1021/NP0005006,,,,,literal,77156976-1
19,uri,http://www.wikidata.org/entity/Q80700853,uri,http://www.wikidata.org/entity/Q105250147,literal,Hymenopus heteromorphus,literal,SCHVWZLYQPLPJV-AOFQKEABSA-N,literal,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=C(O)C(OC)=C(O)C4,en,literal,"3-(beta-D-Galactopyranosyloxy)-4'-methoxy-3',5,5',7-tetrahydroxyflavone",literal,10.1016/S0031-9422(98)00763-8,,,,,literal,77156960-1
20,uri,http://www.wikidata.org/entity/Q85192266,uri,http://www.wikidata.org/entity/Q15634134,literal,Moquilea tomentosa,literal,OXVUXGFZHDKYLS-BLIWDXROSA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1(C)O)C)C(=O)O,en,literal,tormentic acid,literal,10.1016/S0304-3835(02)00593-1,literal,13850-16-3,literal,CHEMBL239077,literal,726782-1
21,uri,http://www.wikidata.org/entity/Q92116862,uri,http://www.wikidata.org/entity/Q416260,literal,Moquilea cariae,literal,WCGUUGGRBIKTOS-GPOJBZKASA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,en,literal,ursolic acid,literal,10.1016/0031-6865(96)00010-6,literal,77-52-1,literal,CHEMBL169,literal,60472898-2
22,uri,http://www.wikidata.org/entity/Q104848314,uri,http://www.wikidata.org/entity/Q72443773,literal,Moquilea licaniaeflora,literal,IGWNEOKIHCAVIU-FZFZDMCWSA-N,literal,O=C(OC1OC(CO)C(O)C(O)C1O)C23CCC(C)(C)CC3C4=CCC5C(C)(CCC6C(C)(C)C(O)C(O)CC56CO)C4(C)CC2,en,literal,Arjunetin,literal,10.1016/S0367-326X(00)00321-X,literal,31297-79-7,,,,
23,uri,http://www.wikidata.org/entity/Q92116862,uri,http://www.wikidata.org/entity/Q416260,literal,Moquilea cariae,literal,WCGUUGGRBIKTOS-GPOJBZKASA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,en,literal,ursolic acid,literal,10.14264/UQL.2014.538,literal,77-52-1,literal,CHEMBL169,literal,60472898-2
24,uri,http://www.wikidata.org/entity/Q92116862,uri,http://www.wikidata.org/entity/Q6086296,literal,Moquilea cariae,literal,OVSQVDMCBVZWGM-QSOFNFLRSA-N,literal,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,en,literal,isoquercetin,literal,10.1016/0031-6865(96)00010-6,literal,482-35-9,literal,CHEMBL250450,literal,60472898-2
25,uri,http://www.wikidata.org/entity/Q92116862,uri,http://www.wikidata.org/entity/Q384111,literal,Moquilea cariae,literal,QGJZLNKBHJESQX-FZFNOLFKSA-N,literal,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O,en,literal,betulinic acid,literal,10.1016/0031-6865(96)00010-6,literal,472-15-1,literal,CHEMBL269277,literal,60472898-2
26,uri,http://www.wikidata.org/entity/Q80700911,uri,http://www.wikidata.org/entity/Q105187207,literal,Hymenopus intrapetiolaris,literal,NXJIENULLHZFNA-NTICDAHTSA-N,literal,O=C(OC1C=C2C(OC)OC(OC(=O)C)C23C(O)CC(C)C(C)(CCC(=C)C=C)C3C1)C4=CC=C(O)C=C4,en,literal,Intrapetacin A,literal,10.1021/NP0005006,,,,,literal,77156976-1
27,uri,http://www.wikidata.org/entity/Q85192266,uri,http://www.wikidata.org/entity/Q418628,literal,Moquilea tomentosa,literal,MIJYXULNPSFWEK-GTOFXWBISA-N,literal,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C,en,literal,oleanolic acid,literal,10.1016/S0304-3835(02)00593-1,literal,508-02-1,literal,CHEMBL168,literal,726782-1
28,uri,http://www.wikidata.org/entity/Q92116862,uri,http://www.wikidata.org/entity/Q384111,literal,Moquilea cariae,literal,QGJZLNKBHJESQX-FZFNOLFKSA-N,literal,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O,en,literal,betulinic acid,literal,10.14264/UQL.2014.538,literal,472-15-1,literal,CHEMBL269277,literal,60472898-2
29,uri,http://www.wikidata.org/entity/Q104848314,uri,http://www.wikidata.org/entity/Q409478,literal,Moquilea licaniaeflora,literal,REFJWTPEDVJJIY-UHFFFAOYSA-N,literal,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,en,literal,quercetin,literal,10.1016/S0378-8741(01)00413-5,literal,117-39-5,literal,CHEMBL50,,
30,uri,http://www.wikidata.org/entity/Q80700853,uri,http://www.wikidata.org/entity/Q105147009,literal,Hymenopus heteromorphus,literal,KWLOAKAXMOYBRK-DBNVPYPFSA-N,literal,O=C(OC1C(O)CC2(C)C3CC=C4C5CC(C)(C)CCC5(C(=O)O)CCC4(C)C3(C)CCC2C1(C)C)C=CC6=CC=C(O)C=C6,en,literal,3-beta-O-(trans-p-Coumaroyl)maslinic acid,literal,10.1055/S-2000-9601,literal,35482-91-8,,,literal,77156960-1
31,uri,http://www.wikidata.org/entity/Q85192266,uri,http://www.wikidata.org/entity/Q105288166,literal,Moquilea tomentosa,literal,VKWQHTUJVRHXPL-CMQCCSGNSA-N,literal,O=C1OC(C)(C)C2CCC13CCC4(C)C(CCC5C6(C)CCC(O)C(C)(C)C6CCC54C)C23,en,literal,"(1S,4R,5R,8R,10S,13R,14R,17R,18S,19S)-10-hydroxy-4,5,9,9,13,20,20-heptamethyl-21-oxahexacyclo[17.3.2.01,18.04,17.05,14.08,13]tetracosan-22-one",literal,10.1016/J.FITOTE.2005.04.018,,,,,literal,726782-1
32,uri,http://www.wikidata.org/entity/Q80700911,uri,http://www.wikidata.org/entity/Q105297773,literal,Hymenopus intrapetiolaris,literal,VVPBNSGOLQBLTJ-NBQVFILYSA-N,literal,O=C(OC1C=C2C(OC(=O)C)OC(OC(=O)C)C23C(O)CC(C)C(C)(CCC(=C)C=C)C3C1)C4=CC=C(O)C=C4,en,literal,"[(1S,3R,5S,6aS,7R,8R,10S,10aR)-1,3-diacetyloxy-10-hydroxy-7,8-dimethyl-7-(3-methylidenepent-4-enyl)-1,3,5,6,6a,8,9,10-octahydrobenzo[d][2]benzofuran-5-yl] 4-hydroxybenzoate",literal,10.1021/NP0005006,,,,,literal,77156976-1
33,uri,http://www.wikidata.org/entity/Q92116862,uri,http://www.wikidata.org/entity/Q14035811,literal,Moquilea cariae,literal,QCIILLDRJZPUDI-HSGFTUQLSA-N,literal,O=C1C(OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)=C(OC=4C=C(O)C=C(O)C14)C=5C=C(O)C(O)=C(O)C5,en,literal,myricetin 3-O-rutinoside,literal,10.14264/UQL.2014.538,,,,,literal,60472898-2
34,uri,http://www.wikidata.org/entity/Q92116862,uri,http://www.wikidata.org/entity/Q407857,literal,Moquilea cariae,literal,IKGXIBQEEMLURG-NVPNHPEKSA-N,literal,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,en,literal,rutin,literal,10.1016/0031-6865(96)00010-6,literal,153-18-4,literal,CHEMBL226335,literal,60472898-2
35,uri,http://www.wikidata.org/entity/Q80700853,uri,http://www.wikidata.org/entity/Q104916838,literal,Hymenopus heteromorphus,literal,AQHKWALTXQHZKK-GLDUGTPFSA-N,literal,O=C(OC1C(O)CC2(C)C(CCC3(C)C2CCC4C5C(C(=C)C)CCC5(C(=O)O)CCC43C)C1(C)C)C=CC6=CC=C(O)C=C6,en,literal,2-O-p-Coumaroyllalphitolic acid,literal,10.1055/S-2000-9601,literal,67911-62-0,,,literal,77156960-1
36,uri,http://www.wikidata.org/entity/Q92116862,uri,http://www.wikidata.org/entity/Q104401725,literal,Moquilea cariae,literal,QCIILLDRJZPUDI-PHTGNFSXSA-N,literal,O=C1C(OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)=C(OC=4C=C(O)C=C(O)C14)C=5C=C(O)C(O)=C(O)C5,en,literal,Myricetin-3-rutinoside,literal,10.1016/0031-6865(96)00010-6,,,,,literal,60472898-2
37,uri,http://www.wikidata.org/entity/Q92116862,uri,http://www.wikidata.org/entity/Q407857,literal,Moquilea cariae,literal,IKGXIBQEEMLURG-NVPNHPEKSA-N,literal,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,en,literal,rutin,literal,10.14264/UQL.2014.538,literal,153-18-4,literal,CHEMBL226335,literal,60472898-2
38,uri,http://www.wikidata.org/entity/Q92116862,uri,http://www.wikidata.org/entity/Q418628,literal,Moquilea cariae,literal,MIJYXULNPSFWEK-GTOFXWBISA-N,literal,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C,en,literal,oleanolic acid,literal,10.1016/0031-6865(96)00010-6,literal,508-02-1,literal,CHEMBL168,literal,60472898-2
39,uri,http://www.wikidata.org/entity/Q104848314,uri,http://www.wikidata.org/entity/Q105185957,literal,Moquilea licaniaeflora,literal,NUNODKNZSZKXGY-UHFFFAOYSA-N,literal,O=C1C=2C(O)=CC(O)=C(O)C2OC(C3=CC=C(O)C=C3)C1,en,literal,8-Hydroxynaringenin,literal,10.1016/S0378-8741(01)00413-5,,,,,,
40,uri,http://www.wikidata.org/entity/Q104848314,uri,http://www.wikidata.org/entity/Q105185957,literal,Moquilea licaniaeflora,literal,NUNODKNZSZKXGY-UHFFFAOYSA-N,literal,O=C1C=2C(O)=CC(O)=C(O)C2OC(C3=CC=C(O)C=C3)C1,en,literal,8-Hydroxynaringenin,literal,10.1016/S0305-1978(01)00089-8,,,,,,
41,uri,http://www.wikidata.org/entity/Q92116862,uri,http://www.wikidata.org/entity/Q15410900,literal,Moquilea cariae,literal,NPJICTMALKLTFW-OFUAXYCQSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,en,literal,sitogluside,literal,10.1016/0031-6865(96)00010-6,literal,474-58-8,literal,CHEMBL506678,literal,60472898-2
42,uri,http://www.wikidata.org/entity/Q80701120,uri,http://www.wikidata.org/entity/Q23058965,literal,Leptobalanus apetalus,literal,RTATXGUCZHCSNG-QHWHWDPRSA-N,literal,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O,en,literal,nictoflorin,literal,10.1016/S0305-1978(01)00089-8,literal,17650-84-9,literal,CHEMBL498879,literal,60472826-2
43,uri,http://www.wikidata.org/entity/Q104848314,uri,http://www.wikidata.org/entity/Q27135401,literal,Moquilea licaniaeflora,literal,ZZTYPLSBNNGEIS-OPAXANQDSA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1(C)O)C)C(=O)O,en,literal,pomolic acid,literal,10.1016/S0367-326X(00)00321-X,literal,13849-91-7,literal,CHEMBL486986,,
44,uri,http://www.wikidata.org/entity/Q80700853,uri,http://www.wikidata.org/entity/Q104916839,literal,Hymenopus heteromorphus,literal,AQHKWALTXQHZKK-JVJDLVJMSA-N,literal,O=C(OC1C(O)CC2(C)C(CCC3(C)C2CCC4C5C(C(=C)C)CCC5(C(=O)O)CCC43C)C1(C)C)C=CC6=CC=C(O)C=C6,en,literal,2alpha-Hydroxy-3beta-(4-hydroxy-cis-cinnamoyloxy)lupa-20(29)-ene-28-oic acid,literal,10.1055/S-2000-9601,,,,,literal,77156960-1
45,uri,http://www.wikidata.org/entity/Q92116862,uri,http://www.wikidata.org/entity/Q63398496,literal,Moquilea cariae,literal,OVSQVDMCBVZWGM-LVWULRLVSA-N,literal,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(O)=C(O)C4,en,literal,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",literal,10.14264/UQL.2014.538,,,,,literal,60472898-2
46,uri,http://www.wikidata.org/entity/Q92116862,uri,http://www.wikidata.org/entity/Q105311365,literal,Moquilea cariae,literal,WRLBRIWXGBKVHQ-LKAYSPLXSA-N,literal,O=C1C(OC2OC(C)C(O)C(O)C2OC3OCC(O)C(O)C3O)=C(OC=4C=C(O)C=C(O)C14)C=5C=CC(O)=C(O)C5,en,literal,"3-[(2R,3R,4R,5R,6S)-4,5-dihydroxy-6-methyl-3-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",literal,10.1016/0031-6865(96)00010-6,,,,,literal,60472898-2
47,uri,http://www.wikidata.org/entity/Q92116862,uri,http://www.wikidata.org/entity/Q15410900,literal,Moquilea cariae,literal,NPJICTMALKLTFW-OFUAXYCQSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,en,literal,sitogluside,literal,10.14264/UQL.2014.538,literal,474-58-8,literal,CHEMBL506678,literal,60472898-2
48,uri,http://www.wikidata.org/entity/Q80700853,uri,http://www.wikidata.org/entity/Q104995769,literal,Hymenopus heteromorphus,literal,FILUBISJJZTQMB-FPBUOGHKSA-N,literal,O=C1C(OC2OC(C)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=C(O)C(OC5OC(C)C(O)C(O)C5O)=C(O)C4,en,literal,"3,4'-Bis(alpha-L-rhamnopyranosyloxy)-3',5,5',7-tetrahydroxyflavone",literal,10.1016/S0031-9422(98)00763-8,,,,,literal,77156960-1
49,uri,http://www.wikidata.org/entity/Q104848314,uri,http://www.wikidata.org/entity/Q104393234,literal,Moquilea licaniaeflora,literal,CUOZRGBQTOSWAY-UHFFFAOYSA-N,literal,O=C(OC1OC(CO)C(O)C(O)C1O)C23CCC(C)(C)C(O)C3C4=CCC5C6(C)CC(O)C(O)C(C)(C)C6CCC5(C)C4(C)CC2,en,literal,"[3,4,5-Trihydroxy-6-(hydroxymethyl)oxan-2-yl] 1,10,11-trihydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate",literal,10.1016/S0367-326X(00)00321-X,,,,,,
50,uri,http://www.wikidata.org/entity/Q80700853,uri,http://www.wikidata.org/entity/Q105147010,literal,Hymenopus heteromorphus,literal,KWLOAKAXMOYBRK-JHXZZHGESA-N,literal,O=C(OC1C(O)CC2(C)C3CC=C4C5CC(C)(C)CCC5(C(=O)O)CCC4(C)C3(C)CCC2C1(C)C)C=CC6=CC=C(O)C=C6,en,literal,3-cis-Coumaroylmaslinic acid,literal,10.1055/S-2000-9601,,,,,literal,77156960-1
51,uri,http://www.wikidata.org/entity/Q80700853,uri,http://www.wikidata.org/entity/Q105242394,literal,Hymenopus heteromorphus,literal,ROPSGBPJLGYBSZ-LZVVBHCVSA-N,literal,O=C1C(OC2OC(C)C(O)C(O)C2O)=C(OC3=CC(OC)=CC(O)=C13)C=4C=C(O)C(OC5OC(C)C(O)C(O)C5O)=C(O)C4,en,literal,"3,4'-Di(alpha-L-rhamnopyranosyloxy)-3',5,5'-trihydroxy-7-methoxyflavone",literal,10.1016/S0031-9422(98)00763-8,,,,,literal,77156960-1
52,uri,http://www.wikidata.org/entity/Q104848314,uri,http://www.wikidata.org/entity/Q384111,literal,Moquilea licaniaeflora,literal,QGJZLNKBHJESQX-FZFNOLFKSA-N,literal,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O,en,literal,betulinic acid,literal,10.1016/S0367-326X(00)00321-X,literal,472-15-1,literal,CHEMBL269277,,
53,uri,http://www.wikidata.org/entity/Q80701120,uri,http://www.wikidata.org/entity/Q105274879,literal,Leptobalanus apetalus,literal,UKSPRKDZNYSFRL-PXOCLKCNSA-N,literal,O=C1C=2C(O)=CC(O)=CC2OC(C3=CC=C(O)C(O)=C3)C1OC4OCC(O)C(O)C4O,en,literal,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxy-2,3-dihydrochromen-4-one",literal,10.1016/S0305-1978(01)00089-8,,,,,literal,60472826-2
54,uri,http://www.wikidata.org/entity/Q80701120,uri,http://www.wikidata.org/entity/Q5242815,literal,Leptobalanus apetalus,literal,OVSQVDMCBVZWGM-DTGCRPNFSA-N,literal,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,en,literal,hyperoside,literal,10.1016/S0305-1978(01)00089-8,literal,482-36-0,,,literal,60472826-2
55,uri,http://www.wikidata.org/entity/Q85192266,uri,http://www.wikidata.org/entity/Q27139858,literal,Moquilea tomentosa,literal,SECPZKHBENQXJG-UHFFFAOYSA-N,literal,CCCCCCC=CCCCCCCCC(=O)O,en,literal,hexadec-9-enoic acid,literal,10.1016/J.FITOTE.2005.04.018,literal,2091-29-4,,,literal,726782-1
