,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structure_cas.type,structure_cas,chembl_id.type,chembl_id,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI
12,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q74417675,literal,Begonia nantoensis,literal,KIWLCEXSSGNBJU-UHFFFAOYSA-N,literal,O=C(OCC(O)CO)CCCCCCCCCCCCCCCCCCCCCCC,literal,1016138-1,literal,118605-21-3,,,en,literal,1-tetracosanoylglycerol,literal,10.1002/CHIN.200434239
13,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q418628,literal,Begonia nantoensis,literal,MIJYXULNPSFWEK-GTOFXWBISA-N,literal,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C,literal,1016138-1,literal,508-02-1,literal,CHEMBL168,en,literal,oleanolic acid,literal,10.1248/CPB.52.345
14,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q418628,literal,Begonia nantoensis,literal,MIJYXULNPSFWEK-GTOFXWBISA-N,literal,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C,literal,1016138-1,literal,508-02-1,literal,CHEMBL168,en,literal,oleanolic acid,literal,10.1002/CHIN.200434239
15,uri,http://www.wikidata.org/entity/Q9168329,uri,http://www.wikidata.org/entity/Q63398929,literal,Begonia heracleifolia,literal,QGBRLVONZXHAKJ-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCCCCCC(=O)OC,literal,104828-1,literal,1120-28-1,,,en,literal,methyl arachidate,literal,10.1055/S-2006-957460
16,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q72490252,literal,Begonia nantoensis,literal,DOWWCCDWPKGNGX-YFKPBYRVSA-N,literal,O=C(OC)C1OC(OC1)(C)C,literal,1016138-1,literal,60456-21-5,,,en,literal,"(S)-methyl 2,2-dimethyl-1,3-dioxolane-4-carboxylate",literal,10.1248/CPB.52.345
17,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q77423486,literal,Begonia nantoensis,literal,RFYNAVYPYXLVOM-HNNXBMFYSA-N,literal,O=C(NC(CO)Cc1ccccc1)c1ccccc1,literal,1016138-1,,,,,en,literal,N-Benzoyl-L-phenyalaninol,literal,10.1248/CPB.52.345
18,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q425004,literal,Begonia nantoensis,literal,HCXVJBMSMIARIN-PHZDYDNGSA-N,literal,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,1016138-1,literal,83-48-7,literal,CHEMBL400247,en,literal,stigmasterol,literal,10.1002/CHIN.200434239
19,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q418599,literal,Begonia nantoensis,literal,YQUVCSBJEUQKSH-UHFFFAOYSA-N,literal,C1=CC(=C(C=C1C(=O)O)O)O,literal,1016138-1,literal,99-50-3,literal,CHEMBL37537,en,literal,"3,4-dihydroxybenzoic acid",literal,10.1248/CPB.52.345
20,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q418599,literal,Begonia nantoensis,literal,YQUVCSBJEUQKSH-UHFFFAOYSA-N,literal,C1=CC(=C(C=C1C(=O)O)O)O,literal,1016138-1,literal,99-50-3,literal,CHEMBL37537,en,literal,"3,4-dihydroxybenzoic acid",literal,10.1002/CHIN.200434239
21,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q419672,literal,Begonia nantoensis,literal,WKOLLVMJNQIZCI-UHFFFAOYSA-N,literal,COC1=C(C=CC(=C1)C(=O)O)O,literal,1016138-1,literal,121-34-6,literal,CHEMBL120568,en,literal,vanillic acid,literal,10.1248/CPB.52.345
22,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q419672,literal,Begonia nantoensis,literal,WKOLLVMJNQIZCI-UHFFFAOYSA-N,literal,COC1=C(C=CC(=C1)C(=O)O)O,literal,1016138-1,literal,121-34-6,literal,CHEMBL120568,en,literal,vanillic acid,literal,10.1002/CHIN.200434239
23,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q903332,literal,Begonia nantoensis,literal,GGNQRNBDZQJCCN-UHFFFAOYSA-N,literal,C1=CC(=C(C=C1O)O)O,literal,1016138-1,literal,533-73-3,literal,CHEMBL3092389,en,literal,"1,2,4-trihydroxybenzene",literal,10.1248/CPB.52.345
24,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q105140941,literal,Begonia nantoensis,literal,KGRIKZOPUSPXPZ-KMJUKGKLSA-N,literal,CCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCCCCCCCCCC,literal,1016138-1,,,,,en,literal,"(2R)-2-hydroxy-N-[(2R,3S,4R)-1,3,4-trihydroxyhexadecan-2-yl]tricosanamide",literal,10.1248/CPB.52.345
25,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q104966835,literal,Begonia nantoensis,literal,COFCNNXZXGCREM-VKHMYHEASA-N,literal,O=C(OC)C(O)CO,literal,1016138-1,,,,,en,literal,"methyl (2S)-2,3-dihydroxypropanoate",literal,10.1248/CPB.52.345
26,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q104966835,literal,Begonia nantoensis,literal,COFCNNXZXGCREM-VKHMYHEASA-N,literal,O=C(OC)C(O)CO,literal,1016138-1,,,,,en,literal,"methyl (2S)-2,3-dihydroxypropanoate",literal,10.1002/CHIN.200434239
27,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q27136596,literal,Begonia nantoensis,literal,RUVUHIUYGJBLGI-XJZKHKOHSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(C)C,literal,1016138-1,literal,1058-61-3,literal,CHEMBL66926,en,literal,beta-sitostenone,literal,10.1248/CPB.52.345
28,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q27136596,literal,Begonia nantoensis,literal,RUVUHIUYGJBLGI-XJZKHKOHSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(C)C,literal,1016138-1,literal,1058-61-3,literal,CHEMBL66926,en,literal,beta-sitostenone,literal,10.1002/CHIN.200434239
29,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q103815806,literal,Begonia nantoensis,literal,CVULDJMCSSACEO-VMPREFPWSA-N,literal,O=C(NC(COC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1)Cc1ccccc1)c1ccccc1,literal,1016138-1,literal,63631-36-7,,,en,literal,Asperphenamate,literal,10.1002/CHIN.200434239
30,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q229970,literal,Begonia nantoensis,literal,FJKROLUGYXJWQN-UHFFFAOYSA-N,literal,C1=CC(=CC=C1C(=O)O)O,literal,1016138-1,literal,99-96-7,literal,CHEMBL441343,en,literal,4-hydroxybenzoic acid,literal,10.1248/CPB.52.345
31,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q229970,literal,Begonia nantoensis,literal,FJKROLUGYXJWQN-UHFFFAOYSA-N,literal,C1=CC(=CC=C1C(=O)O)O,literal,1016138-1,literal,99-96-7,literal,CHEMBL441343,en,literal,4-hydroxybenzoic acid,literal,10.1002/CHIN.200434239
32,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q105183066,literal,Begonia nantoensis,literal,NPJICTMALKLTFW-PYOHOBBFSA-N,literal,OCC1OC(OC2CC3=CCC4C(CCC5(C)C(CCC45)C(C)CCC(CC)C(C)C)C3(C)CC2)C(O)C(O)C1O,literal,1016138-1,,,,,en,literal,"(2R,3R,4S,5S,6S)-2-[[(3S,8S,9S,10R,13R,14S,17R)-17-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol",literal,10.1248/CPB.52.345
33,uri,http://www.wikidata.org/entity/Q158617,uri,http://www.wikidata.org/entity/Q110080895,literal,Begonia,literal,HIIZINPYIPHUJY-UHFFFAOYSA-O,literal,OC=1C=CC(=CC1)C2=[O+]C=3C=C(O)C=C(O)C3C=C2OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4OC6OCC(O)C(O)C6O,literal,327437-2,,,,,en,literal,"2-[[6-[5,7-Dihydroxy-2-(4-hydroxyphenyl)chromenylium-3-yl]oxy-3,4-dihydroxy-5-(3,4,5-trihydroxyoxan-2-yl)oxyoxan-2-yl]methoxy]-6-methyloxane-3,4,5-triol",literal,10.1016/0031-9422(95)00073-G
34,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q3278222,literal,Begonia nantoensis,literal,SJSOFNCYXJUNBT-UHFFFAOYSA-N,literal,COC1=CC(=CC(=C1OC)OC)C(=O)O,literal,1016138-1,literal,118-41-2,literal,CHEMBL377172,en,literal,"3,4,5-trimethoxybenzoic acid",literal,10.1248/CPB.52.345
35,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q3278222,literal,Begonia nantoensis,literal,SJSOFNCYXJUNBT-UHFFFAOYSA-N,literal,COC1=CC(=CC(=C1OC)OC)C(=O)O,literal,1016138-1,literal,118-41-2,literal,CHEMBL377172,en,literal,"3,4,5-trimethoxybenzoic acid",literal,10.1002/CHIN.200434239
36,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q414116,literal,Begonia nantoensis,literal,QAIPRVGONGVQAS-DUXPYHPUSA-N,literal,C1=CC(=C(C=C1C=CC(=O)O)O)O,literal,1016138-1,literal,331-39-5,literal,CHEMBL145,en,literal,trans-caffeic acid,literal,10.1248/CPB.52.345
37,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q414116,literal,Begonia nantoensis,literal,QAIPRVGONGVQAS-DUXPYHPUSA-N,literal,C1=CC(=C(C=C1C=CC(=O)O)O)O,literal,1016138-1,literal,331-39-5,literal,CHEMBL145,en,literal,trans-caffeic acid,literal,10.1002/CHIN.200434239
38,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q104250467,literal,Begonia nantoensis,literal,JTBGJQZJEYVBJZ-YLXTXNMFSA-N,literal,O=C(O)C1(C)CC(O)C2(C)CCC3(C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1)C,literal,1016138-1,literal,84108-17-8,,,en,literal,"(2S,4S,4aR,6aS,6bR,8aR,10S,12aR,12bR,14bS)-4,10-dihydroxy-2,4a,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,7,8,8a,10,11,12,12b,13,14b-tetradecahydropicene-2-carboxylic acid",literal,10.1248/CPB.52.345
39,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q134658,literal,Begonia nantoensis,literal,PVNIIMVLHYAWGP-UHFFFAOYSA-N,literal,C1=CC(=CN=C1)C(=O)O,literal,1016138-1,literal,59-67-6,literal,CHEMBL573,en,literal,nicotinic acid,literal,10.1248/CPB.52.345
40,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q134658,literal,Begonia nantoensis,literal,PVNIIMVLHYAWGP-UHFFFAOYSA-N,literal,C1=CC(=CN=C1)C(=O)O,literal,1016138-1,literal,59-67-6,literal,CHEMBL573,en,literal,nicotinic acid,literal,10.1002/CHIN.200434239
41,uri,http://www.wikidata.org/entity/Q158617,uri,http://www.wikidata.org/entity/Q105165338,literal,Begonia,literal,MJBYQSDLWYHTQE-CFLQIRACSA-N,literal,O=C(OCC1OC(OC=2C=C3C(=O)C=C(O)C=C3OC2C=4C=CC(O)=C(O)C4)C(OC5OC(CO)C(O)C(O)C5O)C(O)C1O)C=CC6=CC=C(O)C=C6,literal,327437-2,,,,,en,literal,"[(2R,3S,4S,5R,6S)-6-{[2-(3,4-dihydroxyphenyl)-7-hydroxy-5-oxochromen-3-yl]oxy}-3,4-dihydroxy-5-{[(2S,3R,4S,5S,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxan-2-yl]methyl 3-(4-hydroxyphenyl)prop-2-enoate",literal,10.1016/0031-9422(95)00073-G
42,uri,http://www.wikidata.org/entity/Q9168329,uri,http://www.wikidata.org/entity/Q27131691,literal,Begonia heracleifolia,literal,ITMUUFDDBRYVNJ-VOKXYEOFSA-N,literal,CC1(C2=CCC3C4(CC(C(C4(CC(=O)C3(C2CC(C1=O)O)C)C)C(C)(C(=O)CCC(C)(C)O)O)O)C)C,literal,104828-1,literal,55903-92-9,literal,CHEMBL564629,en,literal,"23,24-dihydrocucurbitacin D",literal,10.1055/S-2006-957460
43,uri,http://www.wikidata.org/entity/Q9168329,uri,http://www.wikidata.org/entity/Q15410915,literal,Begonia heracleifolia,literal,SRPHMISUTWFFKJ-QJNWWGCFSA-N,literal,CC1(C2=CCC3C4(CC(C(C4(CC(=O)C3(C2CC(C1=O)O)C)C)C(C)(C(=O)C=CC(C)(C)O)O)O)C)C,literal,104828-1,literal,3877-86-9,literal,CHEMBL493646,en,literal,cucurbitacin D,literal,10.1055/S-2006-957460
44,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q121802,literal,Begonia nantoensis,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,1016138-1,literal,19044-06-5,,,en,literal,beta-sitosterol,literal,10.1248/CPB.52.345
45,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q121802,literal,Begonia nantoensis,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,1016138-1,literal,19044-06-5,,,en,literal,beta-sitosterol,literal,10.1002/CHIN.200434239
46,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q10354668,literal,Begonia nantoensis,literal,CUFLZUDASVUNOE-UHFFFAOYSA-N,literal,COC(=O)C1=CC(=C(C=C1)O)O,literal,1016138-1,literal,2150-43-8,literal,CHEMBL486027,en,literal,methyl esterprotocatechuic acid,literal,10.1248/CPB.52.345
47,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q10354668,literal,Begonia nantoensis,literal,CUFLZUDASVUNOE-UHFFFAOYSA-N,literal,COC(=O)C1=CC(=C(C=C1)O)O,literal,1016138-1,literal,2150-43-8,literal,CHEMBL486027,en,literal,methyl esterprotocatechuic acid,literal,10.1002/CHIN.200434239
48,uri,http://www.wikidata.org/entity/Q158617,uri,http://www.wikidata.org/entity/Q110204897,literal,Begonia,literal,KMIJRKZNTFVLAI-UHFFFAOYSA-O,literal,O=C(OCC1OC(OC2=CC=3C(O)=CC(O)=CC3[O+]=C2C=4C=CC(O)=C(O)C4)C(OC5OCC(O)C(O)C5O)C(O)C1O)C=CC6=CC=C(O)C=C6,literal,327437-2,,,,,en,literal,3-O-[b-D-Xylopyranosyl-(1->2)-(4-hydroxycinnamoyl)-(->6)-b-D-glucopyranoside](E)-,literal,10.1016/0031-9422(95)00073-G
49,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q191700,literal,Begonia nantoensis,literal,WPYMKLBDIGXBTP-UHFFFAOYSA-N,literal,C1=CC=C(C=C1)C(=O)O,literal,1016138-1,literal,65-85-0,literal,CHEMBL541,en,literal,benzoic acid,literal,10.1248/CPB.52.345
50,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q191700,literal,Begonia nantoensis,literal,WPYMKLBDIGXBTP-UHFFFAOYSA-N,literal,C1=CC=C(C=C1)C(=O)O,literal,1016138-1,literal,65-85-0,literal,CHEMBL541,en,literal,benzoic acid,literal,10.1002/CHIN.200434239
51,uri,http://www.wikidata.org/entity/Q9168329,uri,http://www.wikidata.org/entity/Q104253150,literal,Begonia heracleifolia,literal,VVBWBGOEAVGFTN-LPQIEKFGSA-N,literal,O=C(CCC(O)(C)C)C(O)(C)C1C(O)CC2(C)C3CC=C4C(CC(O)C(O)C4(C)C)C3(C(=O)CC12C)C,literal,104828-1,literal,50298-90-3,,,en,literal,Cucurbitacin IIb,literal,10.1055/S-2006-957460
52,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q27185967,literal,Begonia nantoensis,literal,VDVJGIYXDVPQLP-UHFFFAOYSA-N,literal,C1OC2=C(O1)C=C(C=C2)C(=O)O,literal,1016138-1,literal,94-53-1,literal,CHEMBL573781,en,literal,piperonylic acid,literal,10.1248/CPB.52.345
53,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q27185967,literal,Begonia nantoensis,literal,VDVJGIYXDVPQLP-UHFFFAOYSA-N,literal,C1OC2=C(O1)C=C(C=C2)C(=O)O,literal,1016138-1,literal,94-53-1,literal,CHEMBL573781,en,literal,piperonylic acid,literal,10.1002/CHIN.200434239
54,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q27115730,literal,Begonia nantoensis,literal,PFTAWBLQPZVEMU-HIFRSBDPSA-N,literal,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,literal,1016138-1,literal,18829-70-4,literal,CHEMBL200715,en,literal,(-)-catechin,literal,10.1248/CPB.52.345
55,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q27115730,literal,Begonia nantoensis,literal,PFTAWBLQPZVEMU-HIFRSBDPSA-N,literal,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,literal,1016138-1,literal,18829-70-4,literal,CHEMBL200715,en,literal,(-)-catechin,literal,10.1002/CHIN.200434239
56,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q27115936,literal,Begonia nantoensis,literal,PWSZACWUDDFZMQ-UHFFFAOYSA-N,literal,C=C(CCC1=CC=CC=C1)C2=CC=CC=C2,literal,1016138-1,literal,16606-47-6,,,en,literal,"2,4-diphenyl-1-butene",literal,10.1248/CPB.52.345
57,uri,http://www.wikidata.org/entity/Q9168329,uri,http://www.wikidata.org/entity/Q27137527,literal,Begonia heracleifolia,literal,HPEUJPJOZXNMSJ-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCCCC(=O)OC,literal,104828-1,literal,112-61-8,,,en,literal,methyl stearate,literal,10.1055/S-2006-957460
58,uri,http://www.wikidata.org/entity/Q10546535,uri,http://www.wikidata.org/entity/Q105343058,literal,Begonia glabra,literal,XVPHXHFVALQSOB-IBZCZWRASA-N,literal,O=C(OC=1C=C(OC(=O)C)C2=C(OC(C3=CC=C(OC(=O)C)C(OC(=O)C)=C3)C(OC(=O)C)C2C=4C(OC(=O)C)=CC(OC(=O)C)=C5C4OC(C6=CC=C(OC(=O)C)C(OC(=O)C)=C6)C(OC(=O)C)C5)C1)C,literal,104759-1,,,,,en,literal,"3alpha,3'beta,5,5',7,7'-Hexaacetoxy-2alpha,2'alpha-bis(3,4-diacetoxyphenyl)-4beta,8'-bi[3,4-dihydro-2H-1-benzopyran]",literal,10.1002/ARDP.19803130112
59,uri,http://www.wikidata.org/entity/Q9168329,uri,http://www.wikidata.org/entity/Q27137420,literal,Begonia heracleifolia,literal,WTTJVINHCBCLGX-NQLNTKRDSA-N,literal,CCCCCC=CCC=CCCCCCCCC(=O)OC,literal,104828-1,literal,112-63-0,literal,CHEMBL3183866,en,literal,methyl linoleate,literal,10.1055/S-2006-957460
60,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q104915650,literal,Begonia nantoensis,literal,AOHIGMQGPFTKQX-FCACEIPISA-N,literal,O=C(C=CC(O)(C)C)C(O)(C)C1C(O)CC2(C)C3CC=C4C(CC(O)C(O)C4(C)C)C3(C(=O)CC12C)C,literal,1016138-1,,,,,en,literal,"(2S,3R,8S,9R,10R,13R,14S,16R,17R)-17-[(E,2R)-2,6-dihydroxy-6-methyl-3-oxohept-4-en-2-yl]-2,3,16-trihydroxy-4,4,9,13,14-pentamethyl-1,2,3,7,8,10,12,15,16,17-decahydrocyclopenta[a]phenanthren-11-one",literal,10.1248/CPB.52.345
61,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q27103575,literal,Begonia nantoensis,literal,OLNJUISKUQQNIM-UHFFFAOYSA-N,literal,C1=CC=C2C(=C1)C(=CN2)C=O,literal,1016138-1,literal,487-89-8,literal,CHEMBL147741,en,literal,indole-3-carboxaldehyde,literal,10.1248/CPB.52.345
62,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q27103575,literal,Begonia nantoensis,literal,OLNJUISKUQQNIM-UHFFFAOYSA-N,literal,C1=CC=C2C(=C1)C(=CN2)C=O,literal,1016138-1,literal,487-89-8,literal,CHEMBL147741,en,literal,indole-3-carboxaldehyde,literal,10.1002/CHIN.200434239
63,uri,http://www.wikidata.org/entity/Q158617,uri,http://www.wikidata.org/entity/Q125618136,literal,Begonia,literal,XGQPXBKBCOHIQI-GCNWMLFFSA-O,literal,O=C1C=C(O)C=C2OC(=C(OC3OC(C[O+]=C(O)C=CC4=CC=C(O)C(O)=C4)C(O)C(O)C3OC5OCC(O)C(O)C5O)C=C12)C=6C=CC(O)=C(O)C6,literal,327437-2,,,,,,literal,Q125618136,literal,10.1016/0031-9422(95)00073-G
