,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.type,structureLabel,refDOI.type,refDOI,structureLabel.xml:lang,structure_cas.type,structure_cas,chembl_id.type,chembl_id
10,uri,http://www.wikidata.org/entity/Q5479001,uri,http://www.wikidata.org/entity/Q105280815,literal,Shorea disticha,literal,UXHSAOFTHSNXMK-TWPJQJGJSA-N,literal,OC1=CC=C(C=C1)C2OC3=CC(O)=CC4=C3C2C=5C=C(O)C=C(O)C5C(C6=CC=C(O)C=C6)C7C=8C=C(O)C=C(O)C8C(C9=CC=C(O)C=C9)C47,literal,321258-1,literal,"(2S,3S,10S,11R,18R,19S)-3,11,19-tris(4-hydroxyphenyl)-20-oxahexacyclo[16.6.1.02,10.04,9.012,17.021,25]pentacosa-1(25),4(9),5,7,12(17),13,15,21,23-nonaene-5,7,13,15,23-pentol",literal,10.1016/S0031-9422(00)84790-1,en,,,,
11,uri,http://www.wikidata.org/entity/Q5479001,uri,http://www.wikidata.org/entity/Q5383943,literal,Shorea disticha,literal,FQWLMRXWKZGLFI-YVYUXZJTSA-N,literal,C1=CC(=CC=C1C=CC2=CC(=CC3=C2C(C(O3)C4=CC=C(C=C4)O)C5=CC(=CC(=C5)O)O)O)O,literal,321258-1,literal,ε-viniferin,literal,10.1016/S0031-9422(00)84790-1,en,literal,62218-08-0,literal,CHEMBL1224875
12,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q105027309,literal,Shorea robusta,literal,HFGSQOYIOKBQOW-UAQQPVTRSA-N,literal,O=C(O)C12CCC(C)C(C)C2C3=CCC4C5(C)CC(O)C(O)C(C)(C)C5CCC4(C)C3(C)CC1,literal,321425-1,literal,"(1S,2R,4aS,6aR,6aS,6bR,8aR,10S,11R,12aR,14bR)-10,11-dihydroxy-1,2,6a,6b,9,9,12a-heptamethyl-2,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydro-1H-picene-4a-carboxylic acid",literal,10.1016/S0031-9422(00)95019-2,en,,,,
13,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q27121450,literal,Shorea robusta,literal,GAIBLDCXCZKKJE-RXJOXMPGSA-N,literal,CC1=CCCC(=C)C=CC(CC1)C(C)C,literal,321425-1,literal,(-)-germacrene D,literal,10.1055/S-2001-18857,en,literal,23986-74-5,literal,CHEMBL105432
14,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q27293894,literal,Shorea robusta,literal,DIFWJJFSELKWGA-IPQOMUISSA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(=O)C5(C)C)C)C)C2C1C)C)C,literal,321425-1,literal,α-amyrenone,literal,10.1016/S0031-9422(97)00004-6,en,literal,638-96-0,literal,CHEMBL518475
15,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q5172335,literal,Shorea robusta,literal,HFGSQOYIOKBQOW-ZSDYHTTISA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1C)C)C(=O)O,literal,321425-1,literal,corosolic acid,literal,10.1016/S0031-9422(00)90675-7,en,literal,4547-24-4,literal,CHEMBL391533
16,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q27136369,literal,Shorea robusta,literal,XUARCIYIVXVTAE-ZAPOICBTSA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)CO,literal,321425-1,literal,uvaol,literal,10.1016/S0031-9422(97)00004-6,en,literal,545-46-0,literal,CHEMBL399873
17,uri,http://www.wikidata.org/entity/Q5464646,uri,http://www.wikidata.org/entity/Q105271197,literal,Shorea uliginosa,literal,UEYGALFYSPBGNW-KYSKSKGUSA-N,literal,OC1=CC=C(C=C1)C2OC3=CC=C(C=CC4=CC(O)=C(C=5OC(C6=CC=C(O)C=C6)C(C=7C=C(O)C=C(O)C7)C45)C8OC(CO)C(O)C(O)C8O)C=C3C2C9=CC(O)=C(C(O)=C9)C%10OC(CO)C(O)C(O)C%10O,literal,321476-1,literal,Q105271197,literal,10.1016/J.TETLET.2009.03.043,,,,,
18,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q27278826,literal,Shorea robusta,literal,AYXPYQRXGNDJFU-QTPLKFIXSA-N,literal,CC1CCC2C1C3C(C3(C)C)CCC2(C)O,literal,321425-1,literal,globulol,literal,10.1055/S-2001-18857,en,literal,489-41-8,literal,CHEMBL2171207
19,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q76416625,literal,Shorea robusta,literal,ITYNGVSTWVVPIC-XVIXHAIJSA-N,literal,C=C1CCC2C(C3C1CCC3C)C2(C)C,literal,321425-1,literal,(+)-Aromadendrene,literal,10.1055/S-2001-18857,en,literal,489-39-4,,
20,uri,http://www.wikidata.org/entity/Q1329892,uri,http://www.wikidata.org/entity/Q105275371,literal,Shorea roxburghii,literal,ULVDXYXKRNQCCO-HOCLYGCPSA-N,literal,O=C1OC(C(=O)C)C(C2=CC=C(O)C=C2)C=3C(O)=CC(O)=CC13,literal,321430-1,literal,Phayomphenol A1,literal,10.1016/J.BMC.2011.11.067,en,,,,
21,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q27108621,literal,Shorea robusta,literal,JFSHUTJDVKUMTJ-QHPUVITPSA-N,literal,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C)C,literal,321425-1,literal,β-amyrin,literal,10.1016/S0031-9422(97)00004-6,en,literal,559-70-6,literal,CHEMBL455098
22,uri,http://www.wikidata.org/entity/Q5464646,uri,http://www.wikidata.org/entity/Q105271196,literal,Shorea uliginosa,literal,UEYGALFYSPBGNW-GGBJAGSYSA-N,literal,OC1=CC=C(C=C1)C2OC3=CC=C(C=CC4=CC(O)=C(C=5OC(C6=CC=C(O)C=C6)C(C=7C=C(O)C=C(O)C7)C45)C8OC(CO)C(O)C(O)C8O)C=C3C2C9=CC(O)=C(C(O)=C9)C%10OC(CO)C(O)C(O)C%10O,literal,321476-1,literal,Q105271196,literal,10.1016/J.TETLET.2009.03.043,,,,,
23,uri,http://www.wikidata.org/entity/Q1329892,uri,http://www.wikidata.org/entity/Q3902665,literal,Shorea roxburghii,literal,HSTZMXCBWJGKHG-CUYWLFDKSA-N,literal,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O,literal,321430-1,literal,polydatin,literal,10.1016/J.FITOTE.2011.01.003,en,literal,27208-80-6,literal,CHEMBL142652
24,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q97349560,literal,Shorea robusta,literal,NVNUNRUPWXZKAL-YKHKZODKSA-N,literal,O=C1CCC2(C)C(CCC3(C)C2CCC4C5(C)CCC(C5CCC43C)C(O)(C)C)C1(C)C,literal,321425-1,literal,hydroxyhopanone,literal,10.1016/S0031-9422(00)90675-7,en,literal,1981-81-3,,
25,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q105237118,literal,Shorea robusta,literal,RITHLQKJQSKUAO-ROUUACIJSA-N,literal,O=C(OC)CCCCCCCC(O)C(O)CCCCCCCC,literal,321425-1,literal,"methyl (9S,10S)-9,10-dihydroxyoctadecanoate",literal,10.1002/RECL.19730920203,en,,,,
26,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q104911115,literal,Shorea robusta,literal,AFFCSQROTFZBBI-VKDGGWMYSA-N,literal,O=C(C=CC1=CC=C(OC2OC(CO)C(O)C(O)C2O)C=C1)C=3C=CC=CC3,literal,321425-1,literal,"(E)-1-phenyl-3-[4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]prop-2-en-1-one",literal,10.1016/0031-9422(82)80107-6,en,,,,
27,uri,http://www.wikidata.org/entity/Q5478938,uri,http://www.wikidata.org/entity/Q105275700,literal,Shorea affinis,literal,UMRPOGLIBDXFNK-WSKRMRRTSA-N,literal,O=C(OC1CCC2(C)C(CCC3(C)C2CC=C4C5CC(C)(C)CCC5(C)CCC43C)C1(C)C)C,literal,321188-1,literal,"[(3S,4aS,6aR,6bS,8aR,12aR,14aR,14bR)-4,4,6a,6b,8a,11,11,14b-octamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl] acetate",literal,10.1016/S0031-9422(00)91468-7,en,,,,
28,uri,http://www.wikidata.org/entity/Q5479009,uri,http://www.wikidata.org/entity/Q105275700,literal,Shorea dyeri,literal,UMRPOGLIBDXFNK-WSKRMRRTSA-N,literal,O=C(OC1CCC2(C)C(CCC3(C)C2CC=C4C5CC(C)(C)CCC5(C)CCC43C)C1(C)C)C,literal,321262-1,literal,"[(3S,4aS,6aR,6bS,8aR,12aR,14aR,14bR)-4,4,6a,6b,8a,11,11,14b-octamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl] acetate",literal,10.1016/S0031-9422(00)91468-7,en,,,,
29,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q82660423,literal,Shorea robusta,literal,SITSHJMXTJRDSK-JCTUZHSZSA-N,literal,O=C(O)CCC1(C)C(C(=C)C)CCC2(C)C1CCC3C(CCC32C)C(O)(C)CCC=C(C)C,literal,321425-1,literal,dammarenolic acid,literal,10.1016/S0031-9422(00)90675-7,en,literal,34336-09-9,,
30,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q104913496,literal,Shorea robusta,literal,AKACBGHGXCWOCV-KBXAGLNZSA-N,literal,O=C(O)C12CCC(C)C(C)C2C3=CC(OC)C4C5(C)CC(O)C(O)C(C)(CO)C5CCC4(C)C3(C)CC1,literal,321425-1,literal,"(1S,2R,4aS,6aR,6aS,6bR,8aR,9R,10R,11R,12aS,13R,14bR)-10,11-dihydroxy-9-(hydroxymethyl)-13-methoxy-1,2,6a,6b,9,12a-hexamethyl-2,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydro-1H-picene-4a-carboxylic acid",literal,10.1016/S0031-9422(00)95019-2,en,,,,
31,uri,http://www.wikidata.org/entity/Q1329892,uri,http://www.wikidata.org/entity/Q104251764,literal,Shorea roxburghii,literal,MBGBQHRAJPLAPN-DMGQSWNOSA-N,literal,OC1=CC=C(C=C1)C2OC3=CC(O)=C4C5=C3C2C=6C=C(O)C=C(O)C6C(C7=CC=C(O)C=C7)C5C(C8=CC=C(O)C=C8)C4C=9C=C(O)C=C(O)C9,literal,321430-1,literal,Pauciflorol B,literal,10.1016/J.FITOTE.2011.01.003,en,,,,
32,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q104400839,literal,Shorea robusta,literal,MZPNVEOVZSHYMZ-NTXGJNAHSA-N,literal,O=C(O)C(=CCCC(C)C1CCC2(C)C3CCC4C(C(=O)CCC54CC35CCC12C)(C)C)C,literal,321425-1,literal,Mangiferonic acid,literal,10.1016/S0031-9422(97)00004-6,en,literal,13878-90-5,,
33,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q121802,literal,Shorea robusta,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,321425-1,literal,beta-sitosterol,literal,10.1016/S0031-9422(00)90675-7,en,literal,83-46-5,,
34,uri,http://www.wikidata.org/entity/Q1329892,uri,http://www.wikidata.org/entity/Q15410989,literal,Shorea roxburghii,literal,YQQUILZPDYJDQJ-UHFFFAOYSA-N,literal,C1=CC(=CC=C1C2C(C3=CC(=CC4=C3C(C(O4)C5=CC=C(C=C5)O)C6=CC(=CC(=C26)O)O)O)C7C(C8=C(C=C(C=C8C9C(OC1=C9C7=CC(=C1)O)C1=CC=C(C=C1)O)O)O)C1=CC=C(C=C1)O)O,literal,321430-1,literal,hopeaphenol,literal,10.1248/CPB.48.1001,en,,,,
35,uri,http://www.wikidata.org/entity/Q1329892,uri,http://www.wikidata.org/entity/Q15410989,literal,Shorea roxburghii,literal,YQQUILZPDYJDQJ-UHFFFAOYSA-N,literal,C1=CC(=CC=C1C2C(C3=CC(=CC4=C3C(C(O4)C5=CC=C(C=C5)O)C6=CC(=CC(=C26)O)O)O)C7C(C8=C(C=C(C=C8C9C(OC1=C9C7=CC(=C1)O)C1=CC=C(C=C1)O)O)O)C1=CC=C(C=C1)O)O,literal,321430-1,literal,hopeaphenol,literal,10.1016/J.FITOTE.2011.01.003,en,,,,
36,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q416260,literal,Shorea robusta,literal,WCGUUGGRBIKTOS-GPOJBZKASA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,literal,321425-1,literal,ursolic acid,literal,10.1016/S0031-9422(00)90675-7,en,literal,77-52-1,literal,CHEMBL169
37,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q416260,literal,Shorea robusta,literal,WCGUUGGRBIKTOS-GPOJBZKASA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,literal,321425-1,literal,ursolic acid,literal,10.1016/S0031-9422(00)95019-2,en,literal,77-52-1,literal,CHEMBL169
38,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q416260,literal,Shorea robusta,literal,WCGUUGGRBIKTOS-GPOJBZKASA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,literal,321425-1,literal,ursolic acid,literal,10.1016/S0031-9422(97)00004-6,en,literal,77-52-1,literal,CHEMBL169
39,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q105387077,literal,Shorea robusta,literal,ZZTYPLSBNNGEIS-UHFFFAOYSA-N,literal,O=C(O)C12CCC(C)C(O)(C)C2C3=CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CC1,literal,321425-1,literal,Benthamic acid,literal,10.1016/S0031-9422(97)00004-6,en,,,,
40,uri,http://www.wikidata.org/entity/Q1329892,uri,http://www.wikidata.org/entity/Q105133635,literal,Shorea roxburghii,literal,JQRQZSOMCSIDGH-IZLXSDGUSA-N,literal,OC=1C=CC(=CC1)C2=CC3=C(O)C=C(O)C=C3C4C=5C(OC4C6=CC=C(O)C=C6)=CC(O)=CC25,literal,321430-1,literal,"(1R,16R)-9,16-bis(4-hydroxyphenyl)-15-oxatetracyclo[8.6.1.02,7.014,17]heptadeca-2(7),3,5,8,10(17),11,13-heptaene-4,6,12-triol",literal,10.1016/J.FITOTE.2011.01.003,en,,,,
41,uri,http://www.wikidata.org/entity/Q1329892,uri,http://www.wikidata.org/entity/Q105275369,literal,Shorea roxburghii,literal,ULVDXYXKRNQCCO-GOEBONIOSA-N,literal,O=C1OC(C(=O)C)C(C2=CC=C(O)C=C2)C=3C(O)=CC(O)=CC13,literal,321430-1,literal,Phayomphenol A2,literal,10.1016/J.BMC.2011.11.067,en,,,,
42,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q27132466,literal,Shorea robusta,literal,WRHGORWNJGOVQY-RBSFLKMASA-N,literal,CC1=CC2C(CC1)C(=C)CCC2C(C)C,literal,321425-1,literal,(-)-γ-cadinene,literal,10.1055/S-2001-18857,en,literal,1460-97-5,,
43,uri,http://www.wikidata.org/entity/Q3017429,uri,http://www.wikidata.org/entity/Q427956,literal,Shorea leprosula,literal,LRBQNJMCXXYXIU-PPKXGCFTSA-N,literal,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OCC3C(C(C(C(O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O,literal,321328-1,literal,tannic acid,literal,10.1007/BF01403099,en,literal,1401-55-4,literal,CHEMBL506247
44,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q105379217,literal,Shorea robusta,literal,ZLVFNTFGMGNHIG-NFKZCLLYSA-N,literal,O=C(OC1CCC2(C)C3CC=C4C5C(C)C(C)CCC5CCC4(C)C3(C)CCC2C1(C)C)C,literal,321425-1,literal,"[(3S,4aR,6aR,6bS,8aR,11R,12S,12aS,14aR,14bR)-4,4,6a,6b,11,12,14b-heptamethyl-1,2,3,4a,5,6,7,8,8a,9,10,11,12,12a,14,14a-hexadecahydropicen-3-yl] acetate",literal,10.1016/S0031-9422(00)90675-7,en,,,,
45,uri,http://www.wikidata.org/entity/Q1329892,uri,http://www.wikidata.org/entity/Q4748113,literal,Shorea roxburghii,literal,JJCVXDDMIRXVJA-YNOBPPCASA-N,literal,C1C(C2=C(C=C(C=C2C3C(OC4=C3C1=CC(=C4)O)C5=CC=C(C=C5)O)O)O)C6=CC=C(C=C6)O,literal,321430-1,literal,ampelopsin B,literal,10.1016/J.FITOTE.2011.01.003,en,literal,130518-19-3,,
46,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q105027317,literal,Shorea robusta,literal,HFGSQOYIOKBQOW-XGVRXJSRSA-N,literal,O=C(O)C12CCC(C)C(C)C2C3=CCC4C5(C)CC(O)C(O)C(C)(C)C5CCC4(C)C3(C)CC1,literal,321425-1,literal,"(1S,2R,4aS,6aR,6aS,6bR,8aR,10R,11R,12aR,14bR)-10,11-dihydroxy-1,2,6a,6b,9,9,12a-heptamethyl-2,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydro-1H-picene-4a-carboxylic acid",literal,10.1016/S0031-9422(00)95019-2,en,,,,
47,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q76416625,literal,Shorea robusta,literal,ITYNGVSTWVVPIC-XVIXHAIJSA-N,literal,C=C1CCC2C(C3C1CCC3C)C2(C)C,literal,321425-1,literal,(+)-Aromadendrene,literal,10.1055/S-2001-18857,en,literal,72747-25-2,,
48,uri,http://www.wikidata.org/entity/Q1329892,uri,http://www.wikidata.org/entity/Q105352520,literal,Shorea roxburghii,literal,YQQUILZPDYJDQJ-KGDQSQJYSA-N,literal,OC1=CC=C(C=C1)C2OC3=CC(O)=CC4=C3C2C=5C=C(O)C=C(O)C5C(C6=CC=C(O)C=C6)C4C7C=8C=C(O)C=C9OC(C%10=CC=C(O)C=C%10)C(C=%11C=C(O)C=C(O)C%11C7C%12=CC=C(O)C=C%12)C98,literal,321430-1,literal,hopeaphenol,literal,10.1016/J.FITOTE.2011.01.003,en,literal,17912-85-5,,
49,uri,http://www.wikidata.org/entity/Q1329892,uri,http://www.wikidata.org/entity/Q105015628,literal,Shorea roxburghii,literal,GQZNTVVDWGNHRK-GOEBONIOSA-N,literal,O=C1OC(C(=O)C)C(C2=CC=C(O)C(O)=C2)C=3C(O)=CC(O)=CC13,literal,321430-1,literal,Phayomphenol B2,literal,10.1016/J.BMC.2011.11.067,en,,,,
50,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q105328310,literal,Shorea robusta,literal,XHVLQVKNFXXHCM-ZOHFWAJNSA-N,literal,O=C(O)C12CCC(C)C(C)C2C3=CC(=O)C4C5(C)CC(O)C(O)C(C)(CO)C5CCC4(C)C3(C)CC1,literal,321425-1,literal,11-Oxoasiatic acid,literal,10.1016/S0031-9422(00)90675-7,en,,,,
51,uri,http://www.wikidata.org/entity/Q1329892,uri,http://www.wikidata.org/entity/Q105279255,literal,Shorea roxburghii,literal,UUDRKGZCNYHHAN-OUUBHVDSSA-N,literal,OC1=CC=C(C=C1)C=CC2=CC(OC3OC(CO)C(O)C(O)C3O)=C(O)C=C2O,literal,321430-1,literal,"(2S,3R,4S,5S,6R)-2-[2,4-dihydroxy-5-[2-(4-hydroxyphenyl)ethenyl]phenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",literal,10.1016/J.FITOTE.2011.01.003,en,,,,
52,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q2501558,literal,Shorea robusta,literal,FSLPMRQHCOLESF-SFMCKYFRSA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C,literal,321425-1,literal,α-amyrin,literal,10.1016/S0031-9422(00)90675-7,en,literal,638-95-9,literal,CHEMBL455357
53,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q2501558,literal,Shorea robusta,literal,FSLPMRQHCOLESF-SFMCKYFRSA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C,literal,321425-1,literal,α-amyrin,literal,10.1016/S0031-9422(97)00004-6,en,literal,638-95-9,literal,CHEMBL455357
54,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q27136294,literal,Shorea robusta,literal,NVEQFIOZRFFVFW-RGCMKSIDSA-N,literal,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,literal,321425-1,literal,β-caryophyllene oxide,literal,10.1055/S-2001-18857,en,literal,1139-30-6,literal,CHEMBL508894
55,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q105208519,literal,Shorea robusta,literal,PGOYMURMZNDHNS-DCAIOKEXSA-N,literal,O=C(O)C12CCC(C)(C)CC2C3=CCC4C5(C)CCC(O)C(C)(CO)C5CCC4(C)C3(C)CC1,literal,321425-1,literal,Hederagenin C,literal,10.1016/S0031-9422(00)95019-2,en,,,,
