,organism.type,organism,structure.type,structure,organism_name.type,organism_name,ipniID.type,ipniID,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id
23,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q105152996,literal,Panax,literal,85871-1,literal,LKDAHGOPAGKHQL-UHFFFAOYSA-N,literal,OCC1OC(OC2C(O)C(O)C(OC2OC3CCC4(C)C(CCC5(C)C4CCC6C(CCC65C)C(OC7OC(COC8OC(COC9OCC(O)C(O)C9O)C(O)C(O)C8O)C(O)C(O)C7O)(C)CCC=C(C)C)C3(C)C)CO)C(O)C(O)C1O,,literal,Q105152996,literal,10.1021/NP0201117,,,,
24,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q105024628,literal,Panax,literal,85871-1,literal,GZUKIRNDAPJWCK-UHFFFAOYSA-N,literal,OCC1OC(OCC2OC(OC3CC4(C)C(CC(O)C5C(CCC54C)C6(OC(CC6)C(O)(C)C)C)C7(C)CCC(O)C(C)(C)C37)C(OC8OC(CO)C(O)C(O)C8O)C(O)C2O)C(O)C(O)C1O,,literal,Q105024628,literal,10.1021/NP010354J,,,,
25,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q105125385,literal,Panax,literal,85871-1,literal,JDDJBUWBGUZKCK-UHFFFAOYSA-N,literal,O=C(OCC1OC(OC2CCC3(C)C(CCC4(C)C3CC(O)C5C(CCC54C)C(OC6OC(COC7OC(COC8OCC(O)C(O)C8O)C(O)C(O)C7O)C(O)C(O)C6O)(C)CCC=C(C)C)C2(C)C)C(OC9OC(CO)C(O)C(O)C9O)C(O)C1O)C,,literal,Q105125385,literal,10.1021/NP0201117,,,,
26,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q105346670,literal,Panax,literal,85871-1,literal,YDCUKUFFVMOSKZ-UHFFFAOYSA-N,literal,O=C(OCC1OC(OC2CC3(C)C(CC(O)C4C(CCC43C)C(OC5OC(CO)C(O)C(O)C5O)(C)CCC=C(C)C)C6(C)CCC(O)C(C)(C)C26)C(O)C(O)C1O)C,en,literal,"[6-[[3,12-dihydroxy-4,4,8,10,14-pentamethyl-17-[6-methyl-2-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-5-en-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-3,4,5-trihydroxyoxan-2-yl]methyl acetate",literal,10.1021/NP010354J,,,,
27,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q105256609,literal,Panax,literal,85871-1,literal,SNPBSTALMDUCRQ-UHFFFAOYSA-N,literal,O=C(OCC1OC(OC2CC3(C)C(CC(O)C4C(CCC43C)C(OC5OC(COC6OC(CO)C(O)C(O)C6O)C(O)C(O)C5O)(C)CCC=C(C)C)C7(C)CCC(O)C(C)(C)C27)C(OC8OC(C)C(O)C(O)C8O)C(O)C1O)C,,literal,Q105256609,literal,10.1021/NP010354J,,,,
28,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q104992359,literal,Panax,literal,85871-1,literal,FAMUWZNCFCXABA-UHFFFAOYSA-N,literal,OCC1OC(OC2CCC3(C)C(CCC4(C)C3CC(O)C5C(CCC54C)C(OC6OC(COC7OCC(OC8OCC(O)C(O)C8O)C(O)C7O)C(O)C(O)C6O)(C)CCC=C(C)C)C2(C)C)C(O)C(O)C1O,,literal,Q104992359,literal,10.1021/NP030015L,,,,
29,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q105347890,literal,Panax,literal,85871-1,literal,YFXPRCDUBFSHJY-UHFFFAOYSA-N,literal,OCC1OC(OC2CC3(C)C(CC(O)C4C(CCC43C)C(OC5OC(CO)C(O)C(O)C5O)(C)CCC(O)C(O)(C)C)C6(C)CCC(O)C(C)(C)C26)C(O)C(O)C1O,en,literal,Notoginsenoside J,literal,10.1007/S11418-005-0027-X,,,,
30,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q105144766,literal,Panax,literal,85871-1,literal,KQSFNXMDCOFFGW-UGBTYEQWSA-N,literal,O=C(O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C5C6CC(C)(C)CCC6(C(=O)OC7OC(CO)C(O)C(O)C7O)CCC54C)C2(C)C)C(O)C(O)C1OC8OC(CO)C(O)C8O,en,literal,Oleanoside E,literal,10.1016/J.JEP.2011.12.024,,,,
31,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q105214303,literal,Panax,literal,85871-1,literal,PSOUXXNNRFNUAY-GVTWLOKRSA-N,literal,OCC1OC(OC2CC3(C)C(CC(O)C4C(CCC43C)C5(OC(CC5)C(O)(C)C)C)C6(C)CCC(O)C(C)(C)C26)C(O)C(O)C1O,en,literal,"(2R,3R,4S,5R,6R)-2-{[(1S,3aR,3bR,5S,5aR,7S,9aR,9bR,11R,11aR)-7,11-dihydroxy-1-[(2S,5S)-5-(2-hydroxypropan-2-yl)-2-methyloxolan-2-yl]-3a,3b,6,6,9a-pentamethyl-dodecahydro-1H-cyclopenta[a]phenanthren-5-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol",literal,10.1016/S0031-9422(00)94588-6,,,,
32,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q105135481,literal,Panax,literal,85871-1,literal,JUWQATWMWQLTDL-UHFFFAOYSA-N,literal,O=C(OCC1OC(OC2CC3(C)C(CC(O)C4C(CCC43C)C5(OC(CC5)C(O)(C)C)C)C6(C)CCC(O)C(C)(C)C26)C(OC7OC(CO)C(O)C(O)C7O)C(O)C1O)C,en,literal,"[6-({7,11-dihydroxy-1-[5-(2-hydroxypropan-2-yl)-2-methyloxolan-2-yl]-3a,3b,6,6,9a-pentamethyl-dodecahydro-1H-cyclopenta[a]phenanthren-5-yl}oxy)-3,4-dihydroxy-5-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxan-2-yl]methyl acetate",literal,10.1021/NP010354J,,,,
33,uri,http://www.wikidata.org/entity/Q132636,uri,http://www.wikidata.org/entity/Q105034781,literal,Aralia,literal,30023289-2,literal,HWPVSTHIDBJQHB-DXIYWVCDSA-N,literal,O=C(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)C34CCC(C)(C)CC4C5=CCC6C7(C)CCC(OC8OCC(OC9OC(CO)C(O)C(O)C9O)C(O)C8OC%10OC(C)C(O)C(O)C%10O)C(C)(C)C7CCC6(C)C5(C)CC3,en,literal,Pastuchoside D,literal,10.1007/BF00567339,,,,
34,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q105266925,literal,Panax,literal,85871-1,literal,TXQLFMCRDJSJDN-UHFFFAOYSA-N,literal,O=C(C(=C)C)CCC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)(C)C3CCC4(C)C3C(O)CC5C6(C)CCC(OC7OC(CO)C(O)C(O)C7OC8OC(CO)C(O)C(O)C8O)C(C)(C)C6CCC54C,en,literal,Notoginsenoside B,literal,10.1007/S11418-005-0027-X,,,,
35,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q105029404,literal,Panax,literal,85871-1,literal,HJRVLGWTJSLQIG-UHFFFAOYSA-N,literal,OC1COC(OCC2OC(OC(C)(CCC=C(C)C)C3CCC4(C)C3C(O)CC5C6(C)CCC(O)C(C)(C)C6C(O)CC54C)C(O)C(O)C2O)C(O)C1O,en,literal,"2-[6-methyl-2-(3,6,12-trihydroxy-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl)hept-5-en-2-yl]oxy-6-[(3,4,5-trihydroxyoxan-2-yl)oxymethyl]oxane-3,4,5-triol",literal,10.1248/CPB.49.442,,,,
