,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structure_cas.type,structure_cas,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id
10,uri,http://www.wikidata.org/entity/Q17566032,uri,http://www.wikidata.org/entity/Q77509624,literal,Hypericum linarioides,literal,YDOIFHVUBCIUHF-UHFFFAOYSA-N,literal,CC1=CC(=O)C2=C(C3=C(C=C(C4=C3C5=C2C1=C6C(=CC(=O)C7=C(C8=C(C=C(C4=C8C5=C67)O)O)O)C)O)O)O,literal,433570-1,,,en,literal,hypericin,literal,10.1016/S0305-1978(00)00032-6,,
11,uri,http://www.wikidata.org/entity/Q17566076,uri,http://www.wikidata.org/entity/Q424577,literal,Hypericum hyssopifolium,literal,UAHWPYUMFXYFJY-UHFFFAOYSA-N,literal,CC(=CCCC(=C)C=C)C,literal,428480-1,literal,123-35-3,en,literal,myrcene,literal,10.1002/FFJ.1279,literal,CHEMBL455491
12,uri,http://www.wikidata.org/entity/Q17566043,uri,http://www.wikidata.org/entity/Q63409374,literal,Hypericum laricifolium,literal,KZJWDPNRJALLNS-UHFFFAOYSA-N,literal,OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCC(CC)C(C)C)C2(C)CC1,literal,433547-1,,,en,literal,"17-(5-ethyl-6-methylheptan-2-yl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",literal,10.1021/NP040149E,,
13,uri,http://www.wikidata.org/entity/Q17566043,uri,http://www.wikidata.org/entity/Q51617501,literal,Hypericum laricifolium,literal,KSEBMYQBYZTDHS-UHFFFAOYSA-N,literal,COC1=C(C=CC(=C1)C=CC(=O)O)O,literal,433547-1,literal,1135-24-6,en,literal,(E/Z)-ferulic acid,literal,10.1248/CPB.51.1439,,
14,uri,http://www.wikidata.org/entity/Q17565900,uri,http://www.wikidata.org/entity/Q82749774,literal,Hypericum annulatum,literal,SFMNMSZFHGJDAG-UHFFFAOYSA-N,literal,COC1=CC(=C(C(=C1)O)C(=O)C2=CC(=CC(=C2)O)O)O,literal,433193-1,literal,366493-06-3,en,literal,"(2,6-Dihydroxy-4-methoxyphenyl)(3,5-dihydroxyphenyl)methanone",literal,10.1016/S0031-9422(01)00484-8,,
15,uri,http://www.wikidata.org/entity/Q17565900,uri,http://www.wikidata.org/entity/Q82749774,literal,Hypericum annulatum,literal,SFMNMSZFHGJDAG-UHFFFAOYSA-N,literal,COC1=CC(=C(C(=C1)O)C(=O)C2=CC(=CC(=C2)O)O)O,literal,433193-1,literal,366493-06-3,en,literal,"(2,6-Dihydroxy-4-methoxyphenyl)(3,5-dihydroxyphenyl)methanone",literal,10.1016/S0031-9422(01)00194-7,,
16,uri,http://www.wikidata.org/entity/Q17812146,uri,http://www.wikidata.org/entity/Q82896644,literal,Hypericum drummondii,literal,QHMWXOJUAJSAHT-UHFFFAOYSA-N,literal,CC(=O)C1=C(C(=C(C(C1=O)(C)C)O)CC2=C(C(=C3C(=C2O)C=CC(O3)(C)C)C(=O)C)O)O,literal,1219808-2,literal,119171-78-7,en,literal,Drummondin C,literal,10.1039/C39880001592,,
17,uri,http://www.wikidata.org/entity/Q17812146,uri,http://www.wikidata.org/entity/Q82896644,literal,Hypericum drummondii,literal,QHMWXOJUAJSAHT-UHFFFAOYSA-N,literal,CC(=O)C1=C(C(=C(C(C1=O)(C)C)O)CC2=C(C(=C3C(=C2O)C=CC(O3)(C)C)C(=O)C)O)O,literal,1219808-2,literal,119171-78-7,en,literal,Drummondin C,literal,10.1021/NP50062A018,,
18,uri,http://www.wikidata.org/entity/Q17812146,uri,http://www.wikidata.org/entity/Q82896644,literal,Hypericum drummondii,literal,QHMWXOJUAJSAHT-UHFFFAOYSA-N,literal,CC(=O)C1=C(C(=C(C(C1=O)(C)C)O)CC2=C(C(=C3C(=C2O)C=CC(O3)(C)C)C(=O)C)O)O,literal,1219808-2,literal,119171-78-7,en,literal,Drummondin C,literal,10.1080/10575639408044038,,
19,uri,http://www.wikidata.org/entity/Q17566043,uri,http://www.wikidata.org/entity/Q425928,literal,Hypericum laricifolium,literal,DAUAQNGYDSHRET-UHFFFAOYSA-N,literal,COC1=C(C=C(C=C1)C(=O)O)OC,literal,433547-1,literal,93-07-2,en,literal,veratric acid,literal,10.1248/CPB.51.1439,literal,CHEMBL118903
20,uri,http://www.wikidata.org/entity/Q17565900,uri,http://www.wikidata.org/entity/Q425409,literal,Hypericum annulatum,literal,BTXNYTINYBABQR-UHFFFAOYSA-N,literal,CC1=CC(=C2C3=C1C4=C5C(=C(C=C4C)O)C(=O)C6=C(C=C(C7=C6C5=C3C8=C7C(=CC(=C8C2=O)O)O)O)O)O,literal,433193-1,literal,548-04-9,en,literal,hypericin,literal,10.1016/S0305-1978(00)00032-6,literal,CHEMBL286494
21,uri,http://www.wikidata.org/entity/Q17566032,uri,http://www.wikidata.org/entity/Q425409,literal,Hypericum linarioides,literal,BTXNYTINYBABQR-UHFFFAOYSA-N,literal,CC1=CC(=C2C3=C1C4=C5C(=C(C=C4C)O)C(=O)C6=C(C=C(C7=C6C5=C3C8=C7C(=CC(=C8C2=O)O)O)O)O)O,literal,433570-1,literal,548-04-9,en,literal,hypericin,literal,10.1016/J.PHYTOCHEM.2005.10.021,literal,CHEMBL286494
22,uri,http://www.wikidata.org/entity/Q17566032,uri,http://www.wikidata.org/entity/Q425409,literal,Hypericum linarioides,literal,BTXNYTINYBABQR-UHFFFAOYSA-N,literal,CC1=CC(=C2C3=C1C4=C5C(=C(C=C4C)O)C(=O)C6=C(C=C(C7=C6C5=C3C8=C7C(=CC(=C8C2=O)O)O)O)O)O,literal,433570-1,literal,548-04-9,en,literal,hypericin,literal,10.1016/S0305-1978(00)00032-6,literal,CHEMBL286494
23,uri,http://www.wikidata.org/entity/Q17565894,uri,http://www.wikidata.org/entity/Q415011,literal,Hypericum adenotrichum,literal,IQPNAANSBPBGFQ-UHFFFAOYSA-N,literal,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,literal,433156-1,literal,491-70-3,en,literal,luteolin,literal,10.3109/13880209109082884,literal,CHEMBL151
24,uri,http://www.wikidata.org/entity/Q17566072,uri,http://www.wikidata.org/entity/Q83098617,literal,Hypericum inodorum,literal,CBMAAZVYXIBRLC-UHFFFAOYSA-N,literal,COC1=CC=CC2=C1OC3=C(C2=O)C=C(C=C3)O,literal,433509-1,literal,70786-46-8,en,literal,"9H-Xanthen-9-one, 2-hydroxy-5-methoxy-",literal,10.3987/COM-91-5909,,
25,uri,http://www.wikidata.org/entity/Q17566043,uri,http://www.wikidata.org/entity/Q425004,literal,Hypericum laricifolium,literal,HCXVJBMSMIARIN-PHZDYDNGSA-N,literal,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,433547-1,literal,83-48-7,en,literal,stigmasterol,literal,10.1248/CPB.51.1439,literal,CHEMBL400247
26,uri,http://www.wikidata.org/entity/Q17566072,uri,http://www.wikidata.org/entity/Q82641034,literal,Hypericum inodorum,literal,HEOWOJWZMKMTLX-UHFFFAOYSA-N,literal,COC1=CC2=C(C=C1)OC3=C(C2=O)C=CC=C3O,literal,433509-1,literal,141766-17-8,en,literal,5-Hydroxy-2-methoxy-9H-xanthen-9-one,literal,10.3987/COM-91-5909,,
27,uri,http://www.wikidata.org/entity/Q17566072,uri,http://www.wikidata.org/entity/Q83020115,literal,Hypericum inodorum,literal,DVZCOQQFPCMIPO-UHFFFAOYSA-N,literal,COC1=CC2=C(C=C1)OC3=CC=CC=C3C2=O,literal,433509-1,literal,1214-20-6,en,literal,"9H-Xanthen-9-one, 2-methoxy-",literal,10.3987/COM-91-5909,,
28,uri,http://www.wikidata.org/entity/Q17565894,uri,http://www.wikidata.org/entity/Q5242815,literal,Hypericum adenotrichum,literal,OVSQVDMCBVZWGM-DTGCRPNFSA-N,literal,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,literal,433156-1,literal,482-36-0,en,literal,hyperoside,literal,10.3109/13880209109082884,,
29,uri,http://www.wikidata.org/entity/Q17566043,uri,http://www.wikidata.org/entity/Q951449,literal,Hypericum laricifolium,literal,IKMDFBPHZNJCSN-UHFFFAOYSA-N,literal,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,literal,433547-1,literal,529-44-2,en,literal,myricetin,literal,10.1021/NP040024+,literal,CHEMBL164
30,uri,http://www.wikidata.org/entity/Q17566076,uri,http://www.wikidata.org/entity/Q74417798,literal,Hypericum hyssopifolium,literal,QMAYBMKBYCGXDH-SOUVJXGZSA-N,literal,C1=C(C)C2CCC(=CC2C(C1)C(C)C)C,literal,428480-1,,,en,literal,(-)-alpha-amorphene,literal,10.1016/J.FITOTE.2005.08.019,,
31,uri,http://www.wikidata.org/entity/Q17566076,uri,http://www.wikidata.org/entity/Q9163056,literal,Hypericum hyssopifolium,literal,BDCDNTVZSILEOY-UXYNSRGZSA-N,literal,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(O4)CO)O)O)O)O,literal,428480-1,literal,572-30-5,en,literal,avicularin,literal,10.1016/S0378-8741(03)00112-0,literal,CHEMBL471282
32,uri,http://www.wikidata.org/entity/Q17565900,uri,http://www.wikidata.org/entity/Q105179952,literal,Hypericum annulatum,literal,NIQGBYBENNVZGD-NASSWSRMSA-N,literal,O=C(OC1C(O)C(OC2=CC(OC)=CC(O)=C2C(=O)C=3C=C(O)C=C(O)C3)OC1CO)C,literal,433193-1,,,en,literal,"[(2S,3R,4R,5S)-5-[2-(3,5-dihydroxybenzoyl)-3-hydroxy-5-methoxyphenoxy]-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] acetate",literal,10.1016/S0031-9422(01)00484-8,,
33,uri,http://www.wikidata.org/entity/Q17566043,uri,http://www.wikidata.org/entity/Q105202679,literal,Hypericum laricifolium,literal,OXGUCUVFOIWWQJ-TUPRLDOISA-N,literal,O=C1C(OC2OC(C)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(O)=C(O)C4,literal,433547-1,,,en,literal,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one",literal,10.1248/CPB.51.1439,,
34,uri,http://www.wikidata.org/entity/Q17566043,uri,http://www.wikidata.org/entity/Q105220038,literal,Hypericum laricifolium,literal,QGGNKCVMGSWVQA-NHQGMKOOSA-N,literal,O=C(OCCCCCCCCCCCCCCCCCCCCCCCCCCCCC)C=CC1=CC=C(O)C(O)=C1,literal,433547-1,,,en,literal,"3,4-Dihydroxy-trans-cinnamic acid nonacosane-1-yl ester",literal,10.1248/CPB.51.1439,,
35,uri,http://www.wikidata.org/entity/Q17566043,uri,http://www.wikidata.org/entity/Q104169766,literal,Hypericum laricifolium,literal,JPUKWEQWGBDDQB-UHFFFAOYSA-N,literal,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(O)=CC4,literal,433547-1,,,en,literal,trifolin,literal,10.1248/CPB.52.866,,
36,uri,http://www.wikidata.org/entity/Q17566043,uri,http://www.wikidata.org/entity/Q104169766,literal,Hypericum laricifolium,literal,JPUKWEQWGBDDQB-UHFFFAOYSA-N,literal,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(O)=CC4,literal,433547-1,,,en,literal,trifolin,literal,10.1007/S11418-008-0256-X,,
37,uri,http://www.wikidata.org/entity/Q17566043,uri,http://www.wikidata.org/entity/Q229970,literal,Hypericum laricifolium,literal,FJKROLUGYXJWQN-UHFFFAOYSA-N,literal,C1=CC(=CC=C1C(=O)O)O,literal,433547-1,literal,99-96-7,en,literal,4-hydroxybenzoic acid,literal,10.1248/CPB.51.1439,literal,CHEMBL441343
38,uri,http://www.wikidata.org/entity/Q17566043,uri,http://www.wikidata.org/entity/Q229970,literal,Hypericum laricifolium,literal,FJKROLUGYXJWQN-UHFFFAOYSA-N,literal,C1=CC(=CC=C1C(=O)O)O,literal,433547-1,literal,99-96-7,en,literal,4-hydroxybenzoic acid,literal,10.1021/NP980470V,literal,CHEMBL441343
39,uri,http://www.wikidata.org/entity/Q17566076,uri,http://www.wikidata.org/entity/Q375112,literal,Hypericum hyssopifolium,literal,KWOLFJPFCHCOCG-UHFFFAOYSA-N,literal,CC(=O)C1=CC=CC=C1,literal,428480-1,literal,98-86-2,en,literal,acetophenone,literal,10.1002/FFJ.1279,literal,CHEMBL274467
40,uri,http://www.wikidata.org/entity/Q17566076,uri,http://www.wikidata.org/entity/Q278809,literal,Hypericum hyssopifolium,literal,XMGQYMWWDOXHJM-UHFFFAOYSA-N,literal,CC1=CCC(CC1)C(=C)C,literal,428480-1,literal,138-86-3,en,literal,(±)-limonene,literal,10.1002/FFJ.1279,literal,CHEMBL15799
41,uri,http://www.wikidata.org/entity/Q17565900,uri,http://www.wikidata.org/entity/Q104921920,literal,Hypericum annulatum,literal,AZTPTPPLNRTTGQ-UHFFFAOYSA-N,literal,O=C1C=2C(O)=CC(O)=CC2OC=C1C,literal,433193-1,,,en,literal,"5,7-dihydroxy-3-methylchromen-4-one",literal,10.1016/S0031-9422(01)00484-8,,
42,uri,http://www.wikidata.org/entity/Q17566032,uri,http://www.wikidata.org/entity/Q412742,literal,Hypericum linarioides,literal,KGSZHKRKHXOAMG-HQKKAZOISA-N,literal,CCCC(=O)C12C(=O)C(=C(C(C1=O)(CC(C2(C)CCC=C(C)C)CC=C(C)C)CC=C(C)C)O)CC=C(C)C,literal,433570-1,literal,11079-53-1,en,literal,Hyperforin,literal,10.1016/J.PHYTOCHEM.2005.10.021,,
43,uri,http://www.wikidata.org/entity/Q17566076,uri,http://www.wikidata.org/entity/Q104253249,literal,Hypericum hyssopifolium,literal,FRMCCTDTYSRUBE-JYKNGBAOSA-N,literal,OC1(C)CCC2C(=C)CCC3C(C21)C3(C)C,literal,428480-1,,,en,literal,"(1aS,4aS,7S,7aR,7bS)-1,1,7-trimethyl-4-methylidene-1a,2,3,4a,5,6,7a,7b-octahydrocyclopropa[h]azulen-7-ol",literal,10.1016/J.FITOTE.2005.08.019,,
44,uri,http://www.wikidata.org/entity/Q17565880,uri,http://www.wikidata.org/entity/Q1074417,literal,Hypericum asperuloides,literal,AEDDIBAIWPIIBD-ZJKJAXBQSA-N,literal,C1=C2C(=CC(=C1O)O)OC3=CC(=C(C(=C3C2=O)O)C4C(C(C(C(O4)CO)O)O)O)O,literal,433210-1,literal,4773-96-0,en,literal,mangiferin,literal,10.1016/S0305-1978(98)00010-6,literal,CHEMBL455364
45,uri,http://www.wikidata.org/entity/Q17566043,uri,http://www.wikidata.org/entity/Q1649777,literal,Hypericum laricifolium,literal,OXGUCUVFOIWWQJ-HQBVPOQASA-N,literal,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,literal,433547-1,literal,522-12-3,en,literal,quercitrin,literal,10.1248/CPB.51.1439,literal,CHEMBL82242
46,uri,http://www.wikidata.org/entity/Q17566076,uri,http://www.wikidata.org/entity/Q300928,literal,Hypericum hyssopifolium,literal,WTARULDDTDQWMU-UHFFFAOYSA-N,literal,CC1(C2CCC(=C)C1C2)C,literal,428480-1,literal,127-91-3,en,literal,beta-pinene,literal,10.1002/FFJ.1279,literal,CHEMBL501351
47,uri,http://www.wikidata.org/entity/Q17565876,uri,http://www.wikidata.org/entity/Q105284715,literal,Hypericum atomarium,literal,VENDSUCOZZAVBB-QNRRCFITSA-N,literal,O=C1C(C(=O)C(C)C)=C(O)C2C(=O)C1CC(CC=C(C)C)C2(C)CCC=C(C)C,literal,433218-1,,,en,literal,"(1S,5S,6S,7R)-4-hydroxy-6-methyl-7-(3-methylbut-2-en-1-yl)-6-(4-methylpent-3-en-1-yl)-3-(2-methylpropanoyl)bicyclo[3.3.1]non-3-ene-2,9-dione",literal,10.1021/NP030131O,,
48,uri,http://www.wikidata.org/entity/Q17566076,uri,http://www.wikidata.org/entity/Q27104380,literal,Hypericum hyssopifolium,literal,GRWFGVWFFZKLTI-UHFFFAOYSA-N,literal,CC1=CCC2CC1C2(C)C,literal,428480-1,literal,80-56-8,en,literal,alpha-pinene,literal,10.1002/FFJ.1279,literal,CHEMBL442565
49,uri,http://www.wikidata.org/entity/Q17566076,uri,http://www.wikidata.org/entity/Q27109437,literal,Hypericum hyssopifolium,literal,WUOACPNHFRMFPN-UHFFFAOYSA-N,literal,CC1=CCC(CC1)C(C)(C)O,literal,428480-1,literal,98-55-5,en,literal,alpha-terpineol,literal,10.1016/J.FITOTE.2005.08.019,literal,CHEMBL449810
50,uri,http://www.wikidata.org/entity/Q17566076,uri,http://www.wikidata.org/entity/Q27136294,literal,Hypericum hyssopifolium,literal,NVEQFIOZRFFVFW-RGCMKSIDSA-N,literal,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,literal,428480-1,literal,1139-30-6,en,literal,β-caryophyllene oxide,literal,10.1016/J.FITOTE.2005.08.019,literal,CHEMBL508894
51,uri,http://www.wikidata.org/entity/Q17812146,uri,http://www.wikidata.org/entity/Q105152016,literal,Hypericum drummondii,literal,LHWKHBMFNXXUHX-UHFFFAOYSA-N,literal,O=C(C1=C(O)C(=C(O)C(C1=O)(C)C)CC2=C(O)C=3C=CC(OC3C(C(=O)CC)=C2O)(C)C)CC,literal,1219808-2,,,en,literal,"4-[(5,7-dihydroxy-2,2-dimethyl-8-propanoylchromen-6-yl)methyl]-3,5-dihydroxy-6,6-dimethyl-2-propanoylcyclohexa-2,4-dien-1-one",literal,10.1039/C39880001592,,
52,uri,http://www.wikidata.org/entity/Q17812146,uri,http://www.wikidata.org/entity/Q105152016,literal,Hypericum drummondii,literal,LHWKHBMFNXXUHX-UHFFFAOYSA-N,literal,O=C(C1=C(O)C(=C(O)C(C1=O)(C)C)CC2=C(O)C=3C=CC(OC3C(C(=O)CC)=C2O)(C)C)CC,literal,1219808-2,,,en,literal,"4-[(5,7-dihydroxy-2,2-dimethyl-8-propanoylchromen-6-yl)methyl]-3,5-dihydroxy-6,6-dimethyl-2-propanoylcyclohexa-2,4-dien-1-one",literal,10.1021/NP50062A018,,
53,uri,http://www.wikidata.org/entity/Q17812146,uri,http://www.wikidata.org/entity/Q105111589,literal,Hypericum drummondii,literal,IDWYGCPWMNLBEA-UHFFFAOYSA-N,literal,O=C(C=1C(O)=C(C(O)=C(C1O)CC=2C(O)=C(C(=O)C)C(=O)C(C2O)(C)CC=C(C)C)CC=C(C)C)C,literal,1219808-2,,,en,literal,Drummondin F,literal,10.1021/NP50077A013,,
54,uri,http://www.wikidata.org/entity/Q17812146,uri,http://www.wikidata.org/entity/Q105111589,literal,Hypericum drummondii,literal,IDWYGCPWMNLBEA-UHFFFAOYSA-N,literal,O=C(C=1C(O)=C(C(O)=C(C1O)CC=2C(O)=C(C(=O)C)C(=O)C(C2O)(C)CC=C(C)C)CC=C(C)C)C,literal,1219808-2,,,en,literal,Drummondin F,literal,10.1021/NP50062A018,,
55,uri,http://www.wikidata.org/entity/Q17565900,uri,http://www.wikidata.org/entity/Q104984730,literal,Hypericum annulatum,literal,DLVIWTXNNUETST-WQANXHIZSA-N,literal,O=C(C=1C=C(O)C=C(O)C1)C2=C(O)C=C(OC)C=C2OC3OC(CO)C(O)C3O,literal,433193-1,,,en,literal,"[2-[(2S,3R,4R,5S)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy-6-hydroxy-4-methoxyphenyl]-(3,5-dihydroxyphenyl)methanone",literal,10.1016/S0031-9422(01)00484-8,,
56,uri,http://www.wikidata.org/entity/Q17565894,uri,http://www.wikidata.org/entity/Q27117234,literal,Hypericum adenotrichum,literal,LKDRXBCSQODPBY-VRPWFDPXSA-N,literal,C1C(C(C(C(O1)(CO)O)O)O)O,literal,433156-1,literal,6347-01-9,en,literal,D-fructopyranose,literal,10.3109/13880209109082884,literal,CHEMBL2325229
57,uri,http://www.wikidata.org/entity/Q17566043,uri,http://www.wikidata.org/entity/Q121802,literal,Hypericum laricifolium,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,433547-1,literal,19044-06-5,en,literal,beta-sitosterol,literal,10.1248/CPB.51.1439,,
58,uri,http://www.wikidata.org/entity/Q17565900,uri,http://www.wikidata.org/entity/Q104963641,literal,Hypericum annulatum,literal,CLNBEVGRQDBTGN-LQDZTQBFSA-N,literal,O=C(C1=CC(O)=CC=C1OC2OC(CO)C(O)C(O)C2O)C=3C(O)=CC(O)=CC3O,literal,433193-1,,,en,literal,Hypericophenonoside,literal,10.1016/S0031-9422(01)00484-8,,
59,uri,http://www.wikidata.org/entity/Q17565900,uri,http://www.wikidata.org/entity/Q104963641,literal,Hypericum annulatum,literal,CLNBEVGRQDBTGN-LQDZTQBFSA-N,literal,O=C(C1=CC(O)=CC=C1OC2OC(CO)C(O)C(O)C2O)C=3C(O)=CC(O)=CC3O,literal,433193-1,,,en,literal,Hypericophenonoside,literal,10.1016/S0031-9422(01)00194-7,,
60,uri,http://www.wikidata.org/entity/Q17565900,uri,http://www.wikidata.org/entity/Q105353032,literal,Hypericum annulatum,literal,YRRUPOKSUMYCNH-VIBAHUMZSA-N,literal,O=C(C=1C=C(O)C=C(O)C1)C=2C(O)=CC=CC2OC3OC(CO)C(O)C3O,literal,433193-1,,,en,literal,Annulatophenonoside,literal,10.1016/S0031-9422(01)00484-8,,
61,uri,http://www.wikidata.org/entity/Q17566043,uri,http://www.wikidata.org/entity/Q407857,literal,Hypericum laricifolium,literal,IKGXIBQEEMLURG-NVPNHPEKSA-N,literal,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,literal,433547-1,literal,153-18-4,en,literal,rutin,literal,10.1248/CPB.51.1439,literal,CHEMBL226335
62,uri,http://www.wikidata.org/entity/Q17566032,uri,http://www.wikidata.org/entity/Q105201322,literal,Hypericum linarioides,literal,OVSQVDMCBVZWGM-SJWGPRHPSA-N,literal,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(O)=C(O)C4,literal,433570-1,,,en,literal,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3S,4R,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",literal,10.1016/J.PHYTOCHEM.2005.10.021,,
63,uri,http://www.wikidata.org/entity/Q17812146,uri,http://www.wikidata.org/entity/Q105159018,literal,Hypericum drummondii,literal,LXQOEJUMZZHKAH-UHFFFAOYSA-N,literal,O=C(C1=C(O)C(=C(O)C(C1=O)(C)CC=C(C)C)CC2=C(O)C=3C=CC(OC3C(C(=O)C)=C2O)(C)C)C,literal,1219808-2,,,en,literal,Drummondin D,literal,10.1021/NP50077A013,,
