,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structureLabel.type,structureLabel,refDOI.type,refDOI,ipniID.type,ipniID,structureLabel.xml:lang,structure_cas.type,structure_cas,chembl_id.type,chembl_id
29,uri,http://www.wikidata.org/entity/Q87595642,uri,http://www.wikidata.org/entity/Q104979914,literal,Balanites aegyptiacus,literal,DHEBGTQGALZORI-LAJSNLKYSA-N,literal,OC(C)C1C(O)CC2C3CC=C4CC(OC5OC(COC6OC(C)C(O)C(O)C6O)C(O)C(O)C5OC7OC(C)C(O)C(O)C7O)CCC4(C)C3CCC21C,literal,Q104979914,literal,10.1016/0031-9422(95)00551-H,,,,,,,
30,uri,http://www.wikidata.org/entity/Q606704,uri,http://www.wikidata.org/entity/Q105329103,literal,Balanites aegyptiaca,literal,XJOTXMLDNWCDRH-HAUZKCKMSA-N,literal,OCC1OC(OC2C(O)C(OC(CO)C2O)OC3C(O)C(OC4OC(C)C(O)C(O)C4O)C(OC5CC6=CCC7C(CCC8(C)C7CC9OC%10(OCC(C)CC%10)C(C)C98)C6(C)CC5)OC3CO)C(O)C(O)C1O,literal,Zingiberen newsaponin,literal,10.1016/S0031-9422(00)84687-7,literal,813589-1,en,,,,
31,uri,http://www.wikidata.org/entity/Q87595642,uri,http://www.wikidata.org/entity/Q104991287,literal,Balanites aegyptiacus,literal,DYAJQSYEQXVRFW-RAEGJVERSA-N,literal,OCC1OC(OC2C(O)C(OC3OC(C)C(O)C(O)C3O)C(OC4CC5=CCC6C(CCC7(C)C6CC8OC9(OCC(C)CC9)C(C)C87)C5(C)CC4)OC2CO)C(O)C(OC%10OCC(O)C(O)C%10O)C1O,literal,Balanitin 7,literal,10.1021/NP50078A002,,,en,,,,
32,uri,http://www.wikidata.org/entity/Q606704,uri,http://www.wikidata.org/entity/Q27283375,literal,Balanites aegyptiaca,literal,NXCPMSUBVRGTSE-UHFFFAOYSA-N,literal,COC1=C(C=CC(=C1)C(=O)CCO)O,literal,beta-Hydroxypropiovanillone,literal,10.1016/S0367-326X(99)00149-5,literal,813589-1,en,literal,2196-18-1,literal,CHEMBL485875
33,uri,http://www.wikidata.org/entity/Q606704,uri,http://www.wikidata.org/entity/Q105237692,literal,Balanites aegyptiaca,literal,RJQCTQMDJCNDGK-RKZZQTKVSA-N,literal,OC1CC2=C(C)CC3C(CCC4(C)C3CC5OC6(OCC(C)CC6)C(C)C54)C2(C)CC1,literal,6-Methyldiosgenin,literal,10.1016/0031-9422(92)83728-H,literal,813589-1,en,,,,
34,uri,http://www.wikidata.org/entity/Q3595386,uri,http://www.wikidata.org/entity/Q27106367,literal,Balanites roxburghii,literal,OLAMGHNQGZIWHZ-YIKYYZBWSA-N,literal,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)CO)O)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)OC1,literal,Deltonin,literal,10.1016/S0031-9422(00)84687-7,literal,813594-1,en,literal,55659-75-1,literal,CHEMBL2207416
35,uri,http://www.wikidata.org/entity/Q87595642,uri,http://www.wikidata.org/entity/Q105243141,literal,Balanites aegyptiacus,literal,RPYHJEFMMXMMHG-TUMYEXKASA-N,literal,OCC1OC(OCC(C)CCC2(O)OC3CC4C5CC=C6CC(OC7OC(CO)C(OC8OC(CO)C(O)C(O)C8O)C(O)C7OC9OC(C)C(O)C(O)C9O)CCC6(C)C5CCC4(C)C3C2C)C(O)C(O)C1O,literal,Q105243141,literal,10.1002/MRC.1879,,,,,,,
36,uri,http://www.wikidata.org/entity/Q606704,uri,http://www.wikidata.org/entity/Q104979914,literal,Balanites aegyptiaca,literal,DHEBGTQGALZORI-LAJSNLKYSA-N,literal,OC(C)C1C(O)CC2C3CC=C4CC(OC5OC(COC6OC(C)C(O)C(O)C6O)C(O)C(O)C5OC7OC(C)C(O)C(O)C7O)CCC4(C)C3CCC21C,literal,Q104979914,literal,10.1016/0031-9422(95)00551-H,literal,813589-1,,,,,
37,uri,http://www.wikidata.org/entity/Q87595642,uri,http://www.wikidata.org/entity/Q104667961,literal,Balanites aegyptiacus,literal,DYAJQSYEQXVRFW-UHFFFAOYSA-N,literal,OCC1OC(OC2C(O)C(OC3OC(C)C(O)C(O)C3O)C(OC4CC5=CCC6C(CCC7(C)C6CC8OC9(OCC(C)CC9)C(C)C87)C5(C)CC4)OC2CO)C(O)C(OC%10OCC(O)C(O)C%10O)C1O,literal,Q104667961,literal,10.1016/J.PHYTOL.2010.11.004,,,,,,,
38,uri,http://www.wikidata.org/entity/Q87595642,uri,http://www.wikidata.org/entity/Q419672,literal,Balanites aegyptiacus,literal,WKOLLVMJNQIZCI-UHFFFAOYSA-N,literal,COC1=C(C=CC(=C1)C(=O)O)O,literal,vanillic acid,literal,10.1016/S0367-326X(99)00149-5,,,en,literal,121-34-6,literal,CHEMBL120568
