,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id
18,uri,http://www.wikidata.org/entity/Q17243744,uri,http://www.wikidata.org/entity/Q104976510,literal,Physena madagascariensis,literal,DDLHISCCNYFWOT-PSSYVLGHSA-N,literal,O=C1C(O)=C(C)C2CCC3(C)C(CC=C4C5CC(C)(C)CCC5C(=O)CC43C)C2(C)C1,literal,675611-1,en,literal,Remangilone D,literal,10.1021/NP9805140,,
19,uri,http://www.wikidata.org/entity/Q17243997,uri,http://www.wikidata.org/entity/Q105283891,literal,Physena sessiliflora,literal,VCQKLYXPPYUQTG-MPWDDTOGSA-N,literal,O=C(OC1OCC(O)C(OC2OCC(O)(CO)C2O)C1OC3OC(C)C(OC4OCC(O)C(O)C4O)C(O)C3O)C56CCC(C)(C)CC6C7=CCC8C9(C)CC(O)C(OC%10OC(CO)C(O)C(O)C%10O)C(C)(CO)C9CCC8(C)C7(C)CC5,literal,675612-1,,literal,Q105283891,literal,10.1016/J.PHYTOCHEM.2009.06.002,,
20,uri,http://www.wikidata.org/entity/Q17243997,uri,http://www.wikidata.org/entity/Q105272480,literal,Physena sessiliflora,literal,UGOSANBTGKQQPL-AKMNKZPRSA-N,literal,O=C(OC1COC(OC(=O)C23CCC(C)(C)CC3C4=CCC5C6(C)CC(O)C(OC7OC(CO)C(O)C(O)C7O)C(C)(CO)C6CCC5(C)C4(C)CC2)C(OC8OC(C)C(OC9OCC(O)C(O)C9O)C(O)C8O)C1OC%10OCC(O)(CO)C%10O)CCCCCCC(=O)CCCCCCCCOC%11OCC(O)C(O)C%11O,literal,675612-1,,literal,Q105272480,literal,10.1016/J.PHYTOCHEM.2009.06.002,,
21,uri,http://www.wikidata.org/entity/Q17243744,uri,http://www.wikidata.org/entity/Q105248418,literal,Physena madagascariensis,literal,RZJRSJIUNPKJLS-NOPRNUEKSA-N,literal,O=C1C(O)=CC2(C(=C1C)CCC3(C)C2CC=C4C5CC(C)(C)CCC5C(=O)CC43C)C,literal,675611-1,en,literal,Remangilone B,literal,10.1021/NP9805140,,
22,uri,http://www.wikidata.org/entity/Q17243997,uri,http://www.wikidata.org/entity/Q105307830,literal,Physena sessiliflora,literal,WKZWEJVRTAWADR-NBRFZPCWSA-N,literal,O=C(OC1OCC(O)C(OC2OCC(O)C(O)C2O)C1OC3OC(C)C(OC4OCC(O)C(O)C4O)C(OC5OC(C)C(O)C(O)C5O)C3O)C67CCC(C)(C)CC7C8=CCC9C%10(C)CC(O)C(OC%11OC(CO)C(O)C(O)C%11O)C(C)(CO)C%10CCC9(C)C8(C)CC6,literal,675612-1,,literal,Q105307830,literal,10.1016/J.PHYTOCHEM.2009.06.002,,
23,uri,http://www.wikidata.org/entity/Q17243744,uri,http://www.wikidata.org/entity/Q104990184,literal,Physena madagascariensis,literal,DVKDJWJEXSSNEK-VCXPCEBRSA-N,literal,O=C1C=2C(O)=C(C(O)=C(C2OC(C3=CC=C(O)C=C3)C1)CC(C(=C)C)CCC(=C)C)CC4=C(O)C=5C(=O)CC(OC5C(=C4O)CC(C(=C)C)CCC(=C)C)C6=CC=C(O)C=C6,literal,675611-1,en,literal,Remangiflavanone C,literal,10.1021/NP000054M,,
24,uri,http://www.wikidata.org/entity/Q17243744,uri,http://www.wikidata.org/entity/Q105226104,literal,Physena madagascariensis,literal,QQWIUBKPPNCYMY-JHYKCHHWSA-N,literal,O=C1C(O)=C(C)C2CCC3(C)C(CC=C4C5CC(C)(C)CCC5C(=O)C(O)C43C)C2(C)C1,literal,675611-1,en,literal,Remangilone C,literal,10.1021/NP9805140,,
25,uri,http://www.wikidata.org/entity/Q17243744,uri,http://www.wikidata.org/entity/Q105351612,literal,Physena madagascariensis,literal,YOZREUUANSRXNA-NPTQMFMJSA-N,literal,O=C1C(O)=CC2(C(=C1C)CCC3(C)C2CC=C4C5CC(C)(C)CCC5C(=O)C(O)C43C)C,literal,675611-1,en,literal,"(6aR,6bS,7R,8aS,12aR,14aS,14bR)-2,7-dihydroxy-4,6a,6b,11,11,14b-hexamethyl-5,6,7,8a,9,10,12,12a,14,14a-decahydropicene-3,8-dione",literal,10.1021/NP9805140,,
26,uri,http://www.wikidata.org/entity/Q17243997,uri,http://www.wikidata.org/entity/Q105310113,literal,Physena sessiliflora,literal,WPPNPXSQQCVEIA-SJXRNAMESA-N,literal,O=C(OC1OCC(O)C(OC2OCC(O)C(O)C2O)C1OC3OC(C)C(OC4OCC(O)C(O)C4O)C(OC5OC(C)C(O)C(O)C5O)C3O)C67CCC(C)(C)CC7C8=CCC9C%10(C)CC(O)C(OC%11OC(COC%12OC(CO)C(O)C(O)C%12O)C(O)C(O)C%11O)C(C)(CO)C%10CCC9(C)C8(C)CC6,literal,675612-1,en,literal,Physenoside S4,literal,10.1016/J.PHYTOCHEM.2009.06.002,,
27,uri,http://www.wikidata.org/entity/Q17243744,uri,http://www.wikidata.org/entity/Q105203540,literal,Physena madagascariensis,literal,OYTXVGTUVWGDRJ-MGVKUUOKSA-N,literal,O=C1C=2C(O)=C(C(O)=C(C2OC(C=3C=CC=CC3)C1)CC(C(=C)C)CCC(=C)C)CC4=C(O)C=5C(=O)CC(OC5C(=C4O)CC(C(=C)C)CCC(=C)C)C6=CC=C(O)C=C6,literal,675611-1,en,literal,"(2S)-6-[[(2S)-5,7-dihydroxy-2-(4-hydroxyphenyl)-8-[(2R)-5-methyl-2-prop-1-en-2-ylhex-5-enyl]-4-oxo-2,3-dihydrochromen-6-yl]methyl]-5,7-dihydroxy-8-[(2R)-5-methyl-2-prop-1-en-2-ylhex-5-enyl]-2-phenyl-2,3-dihydrochromen-4-one",literal,10.1021/NP000054M,,
